customer_id,customer_name,industry,segment,region_id,contract_start_month,renewal_month,billing_cadence,payment_terms_days,credit_risk_tier,initial_acv_usd,churn_month,current_arr_usd
C0001,BrightPath Insurance 001,Business Services,Enterprise,R03,2022-04-01,4,Annual,60,A,1650744.29,,1950475.8
C0002,Crescent Health 002,Healthcare,Mid-Market,R03,2020-11-01,11,Annual,60,A,71626.6,,76387.08
C0003,Ironwood Media 003,Retail and E-commerce,SMB,R02,2023-11-01,11,Annual,30,B,42656.3,,47686.08
C0004,Lakeview Education 004,Manufacturing,Enterprise,R03,2022-02-01,2,Annual,45,A,451625.88,,615691.32
C0005,Stonegate Logistics 005,Technology,Mid-Market,R04,2021-02-01,2,Quarterly,30,B,151788.14,,175448.04
C0006,Lakeview Retail 006,Technology,Mid-Market,R01,2024-08-01,8,Annual,60,A,149160.79,,140857.8
C0007,Keystone Retail 007,Healthcare,Mid-Market,R01,2020-09-01,9,Annual,45,A,105900.67,,129337.8
C0008,Keystone Mobility 008,Business Services,Mid-Market,R02,2020-01-01,1,Annual,45,C,256284.7,,358095.24
C0009,Westbridge Technology 009,Retail and E-commerce,SMB,R01,2020-03-01,3,Annual,30,A,49675.31,,62202.24
C0010,Meridian Foods 010,Business Services,SMB,R04,2022-02-01,2,Quarterly,30,A,22979.24,,25229.16
C0011,Highland Mobility 011,Financial Services,SMB,R01,2020-12-01,12,Annual,30,C,51096.44,,59970.48
C0012,Vantage Media 012,Logistics,Mid-Market,R04,2024-11-01,11,Quarterly,30,A,181384.93,,180951.24
C0013,Frontier Logistics 013,Healthcare,Mid-Market,R02,2021-01-01,1,Annual,30,B,112981.96,,131879.52
C0014,Meridian Technology 014,Business Services,SMB,R03,2022-04-01,4,Quarterly,30,A,29384.62,,34509.36
C0015,Highland Manufacturing 015,Healthcare,SMB,R03,2022-12-01,12,Annual,30,A,29994.21,,35016.72
C0016,Atlas Insurance 016,Technology,SMB,R01,2022-03-01,3,Annual,15,A,34342.04,2025-03-01,0
C0017,Atlas Mobility 017,Logistics,Enterprise,R02,2025-06-01,6,Annual,45,A,738419.57,,760572.12
C0018,Cedar Insurance 018,Energy,SMB,R01,2020-12-01,12,Annual,30,A,34147.86,,38991.24
C0019,Cedar Retail 019,Retail and E-commerce,Enterprise,R01,2025-08-01,8,Annual,45,C,683151.37,,683151.36
C0020,BrightPath Foods 020,Energy,Mid-Market,R01,2023-02-01,2,Quarterly,45,A,133545.81,,148122.12
C0021,Atlas Financial 021,Financial Services,Mid-Market,R04,2022-12-01,12,Quarterly,30,A,260745.12,,313226.28
