project_id,customer_id,region_id,project_type,contract_type,start_month,planned_end_month,status,contract_value_usd,blended_bill_rate_usd,actual_margin_pct
P0001,C0200,R01,Optimization,Time and Materials,2022-06-01,2022-07-01,Completed,0,0,0
P0002,C0039,R01,Training,Fixed Price,2022-06-01,2022-07-01,Completed,0,0,0
P0003,C0100,R01,Training,Fixed Price,2022-12-01,2022-12-01,Completed,0,0,0
P0004,C0225,R02,Implementation,Time and Materials,2022-12-01,2023-08-01,Completed,306427.77,160.67,0.3546
P0005,C0298,R04,Implementation,Fixed Price,2022-10-01,2023-08-01,Completed,487137.54,166.2,0.3579
P0006,C0035,R01,Implementation,Fixed Price,2022-12-01,2023-03-01,Completed,672645.27,159.44,0.2989
P0007,C0297,R03,Managed Services,Time and Materials,2022-11-01,2023-05-01,Completed,279553.46,215.85,0.5578
P0008,C0123,R01,Implementation,Time and Materials,2022-11-01,2023-10-01,Completed,495122.51,159.36,0.3371
P0009,C0103,R02,Implementation,Time and Materials,2022-06-01,2023-04-01,Completed,847833.64,173.46,0.371
P0010,C0249,R02,Implementation,Time and Materials,2022-11-01,2023-04-01,Completed,790914.26,175.89,0.392
P0011,C0266,R03,Implementation,Time and Materials,2022-11-01,2023-06-01,Completed,884990.67,180.24,0.393
P0012,C0153,R03,Implementation,Fixed Price,2022-09-01,2023-02-01,Completed,101438.64,182.57,0.3903
P0013,C0292,R04,Training,Fixed Price,2022-07-01,2022-07-01,Completed,0,0,0
P0014,C0104,R03,Optimization,Time and Materials,2022-10-01,2023-04-01,Completed,57031.43,224.44,0.5093
P0015,C0052,R04,Training,Fixed Price,2022-10-01,2022-11-01,Completed,0,0,0
P0016,C0134,R02,Implementation,Fixed Price,2022-07-01,2023-01-01,Completed,30263.2,150.94,0.2234
P0017,C0007,R01,Implementation,Fixed Price,2022-09-01,2023-07-01,Completed,338388.25,165.75,0.3477
P0018,C0188,R01,Implementation,Time and Materials,2022-06-01,2023-02-01,Completed,437520.29,166.86,0.3403
P0019,C0037,R03,Managed Services,Fixed Price,2022-11-01,2023-07-01,Completed,384601.85,219.23,0.5509
P0020,C0055,R01,Optimization,Fixed Price,2022-10-01,2023-02-01,Completed,61795.7,192.81,0.4653
P0021,C0275,R03,Optimization,Time and Materials,2022-07-01,2023-01-01,Completed,81527.7,209.05,0.4568
P0022,C0276,R03,Managed Services,Fixed Price,2022-09-01,2023-08-01,Completed,46800.68,200.52,0.5097
P0023,C0051,R01,Implementation,Time and Materials,2022-08-01,2022-11-01,Completed,0,0,0
