gl_row_id,month_start,account_id,department_id,region_id,customer_id,project_id,business_line,amount_usd,source_system,entry_type
GL0000001,2023-01-01,A4000,D00,R03,C0001,,Subscription,137562.02,Subscription Billing,Revenue Recognition
GL0000002,2023-02-01,A4000,D00,R03,C0001,,Subscription,137562.02,Subscription Billing,Revenue Recognition
GL0000003,2023-03-01,A4000,D00,R03,C0001,,Subscription,137562.02,Subscription Billing,Revenue Recognition
GL0000004,2023-04-01,A4000,D00,R03,C0001,,Subscription,139625.45,Subscription Billing,Revenue Recognition
GL0000005,2023-05-01,A4000,D00,R03,C0001,,Subscription,141688.89,Subscription Billing,Revenue Recognition
GL0000006,2023-06-01,A4000,D00,R03,C0001,,Subscription,141688.89,Subscription Billing,Revenue Recognition
GL0000007,2023-07-01,A4000,D00,R03,C0001,,Subscription,141688.89,Subscription Billing,Revenue Recognition
GL0000008,2023-08-01,A4000,D00,R03,C0001,,Subscription,141688.89,Subscription Billing,Revenue Recognition
GL0000009,2023-09-01,A4000,D00,R03,C0001,,Subscription,141688.89,Subscription Billing,Revenue Recognition
GL0000010,2023-10-01,A4000,D00,R03,C0001,,Subscription,141688.89,Subscription Billing,Revenue Recognition
GL0000011,2023-11-01,A4000,D00,R03,C0001,,Subscription,141688.89,Subscription Billing,Revenue Recognition
GL0000012,2023-12-01,A4000,D00,R03,C0001,,Subscription,141688.89,Subscription Billing,Revenue Recognition
GL0000013,2024-01-01,A4000,D00,R03,C0001,,Subscription,141688.89,Subscription Billing,Revenue Recognition
GL0000014,2024-02-01,A4000,D00,R03,C0001,,Subscription,141688.89,Subscription Billing,Revenue Recognition
GL0000015,2024-03-01,A4000,D00,R03,C0001,,Subscription,141688.89,Subscription Billing,Revenue Recognition
GL0000016,2024-04-01,A4000,D00,R03,C0001,,Subscription,143814.22,Subscription Billing,Revenue Recognition
GL0000017,2024-05-01,A4000,D00,R03,C0001,,Subscription,145939.55,Subscription Billing,Revenue Recognition
GL0000018,2024-06-01,A4000,D00,R03,C0001,,Subscription,145939.55,Subscription Billing,Revenue Recognition
GL0000019,2024-07-01,A4000,D00,R03,C0001,,Subscription,145939.55,Subscription Billing,Revenue Recognition
GL0000020,2024-08-01,A4000,D00,R03,C0001,,Subscription,145939.55,Subscription Billing,Revenue Recognition
GL0000021,2024-09-01,A4000,D00,R03,C0001,,Subscription,145939.55,Subscription Billing,Revenue Recognition
GL0000022,2024-10-01,A4000,D00,R03,C0001,,Subscription,145939.55,Subscription Billing,Revenue Recognition
GL0000023,2024-11-01,A4000,D00,R03,C0001,,Subscription,145939.55,Subscription Billing,Revenue Recognition
GL0000024,2024-12-01,A4000,D00,R03,C0001,,Subscription,145939.55,Subscription Billing,Revenue Recognition
GL0000025,2025-01-01,A4000,D00,R03,C0001,,Subscription,145939.55,Subscription Billing,Revenue Recognition
GL0000026,2025-02-01,A4000,D00,R03,C0001,,Subscription,145939.55,Subscription Billing,Revenue Recognition
