month_start,project_id,customer_id,region_id,revenue_usd,direct_labor_cost_usd,subcontractor_cost_usd,travel_cost_usd,gross_profit_usd,billable_hours
2023-01-01,P0004,C0225,R02,37595.41,21938.32,858.74,725.93,14072.42,243
2023-02-01,P0004,C0225,R02,32650.51,17847.69,2206.15,742.96,11853.72,197.7
2023-03-01,P0004,C0225,R02,36602.23,20130.41,2549.29,73.2,13849.33,222
2023-04-01,P0004,C0225,R02,32750.56,14524.44,1913.66,628.07,15684.39,161.3
2023-05-01,P0004,C0225,R02,31312.5,16302.41,1920.54,494.14,12595.41,180.2
2023-06-01,P0004,C0225,R02,32402.93,16680.93,2274.97,268.2,13178.83,184.6
2023-07-01,P0004,C0225,R02,34619.1,21559.81,4474.73,343.61,8240.95,238.6
2023-08-01,P0004,C0225,R02,34447,23760.12,3056.12,526.28,7104.49,267.9
2023-01-01,P0005,C0298,R04,46679.03,27284.63,5713.66,482.83,13197.9,302.2
2023-02-01,P0005,C0298,R04,56254.21,30801.72,6339.55,842.97,18269.97,341.1
2023-03-01,P0005,C0298,R04,65829.4,36265.43,6565.29,541.18,22457.5,399.9
2023-04-01,P0005,C0298,R04,56254.21,24989.84,3311.07,402.61,27550.69,277.6
2023-05-01,P0005,C0298,R04,46679.03,24343.54,2137.46,392.81,19805.21,269.1
2023-06-01,P0005,C0298,R04,37103.84,19132.98,3341.77,256.07,14373.02,211.8
2023-07-01,P0005,C0298,R04,27528.66,17172.84,2570.21,485.8,7299.81,190.1
2023-08-01,P0005,C0298,R04,17953.47,12404.33,1530.86,160.74,3857.54,139.9
2023-01-01,P0006,C0035,R01,201793.58,118738.83,27651.32,3061.26,52342.18,1315.1
2023-02-01,P0006,C0035,R01,201793.58,111228.56,26433.84,1960.58,62170.6,1231.9
2023-03-01,P0006,C0035,R01,100896.79,55955.06,6718.49,1950.21,36273.02,617
2023-01-01,P0007,C0297,R03,40839.05,18899.73,224.59,203.73,21511,209.3
2023-02-01,P0007,C0297,R03,39688.97,17205.74,208.32,371.13,21903.78,190.6
2023-03-01,P0007,C0297,R03,39031.73,17024.5,196.22,311.1,21499.91,187.7
2023-04-01,P0007,C0297,R03,43014.67,15128.94,1301.01,442.91,26141.8,168.1
2023-05-01,P0007,C0297,R03,37106.62,15321.35,1387.91,74.21,20323.15,169.4
2023-01-01,P0008,C0123,R01,42141.81,24079.76,5708.79,827.39,11525.86,266.7
2023-02-01,P0008,C0123,R01,42564.54,22782.97,5487.61,363.82,13930.13,252.3
2023-03-01,P0008,C0123,R01,41343.93,22265.24,3419.89,381.28,15277.52,245.5
2023-04-01,P0008,C0123,R01,43901.18,19064.58,3362.32,267.29,21206.99,211.8
2023-05-01,P0008,C0123,R01,41435.6,21124.1,3111.81,346.66,16853.03,233.5
2023-06-01,P0008,C0123,R01,36191.68,18243.8,2173.17,806.83,14967.89,201.9
2023-07-01,P0008,C0123,R01,40654.02,24791.52,2650.43,630.3,12581.77,274.4
2023-08-01,P0008,C0123,R01,40888.88,27616.77,3209.12,81.78,9981.22,311.4
2023-09-01,P0008,C0123,R01,39877.33,24852.2,3025.84,266.22,11733.06,280.2
2023-10-01,P0008,C0123,R01,43603.12,27813.4,4496.45,280,11013.27,311.5
2023-01-01,P0009,C0103,R02,69048.41,39745.72,4338.99,195.43,24768.27,440.2
2023-02-01,P0009,C0103,R02,81161.69,43763.43,8067.81,824.15,28506.31,484.7
2023-03-01,P0009,C0103,R02,75036.89,40708.78,9754.71,891.91,23681.49,448.9
2023-04-01,P0009,C0103,R02,83056.15,36334.61,8188.03,1103.68,37429.83,403.6
2023-01-01,P0010,C0249,R02,125566.03,71039.4,11004.18,730.72,42791.73,786.8
2023-02-01,P0010,C0249,R02,132019.78,69966.42,7998.72,1571.24,52483.4,774.9
2023-03-01,P0010,C0249,R02,134035.01,71469.7,8204.08,1316.41,53044.83,788
2023-04-01,P0010,C0249,R02,135655.35,58327.87,18031.44,929.86,58366.19,648
2023-01-01,P0011,C0266,R03,99845.83,55532.42,6512.07,199.69,37601.65,615.1
2023-02-01,P0011,C0266,R03,112290.27,58503.56,15581.55,1034.95,37170.22,648
2023-03-01,P0011,C0266,R03,114106.34,59814.02,8701.61,2599.84,42990.87,659.5
2023-04-01,P0011,C0266,R03,107937.77,45624.92,7913.54,1714.39,52684.91,506.8
2023-05-01,P0011,C0266,R03,116677.37,57898.72,16490.21,446.52,41841.92,640
2023-06-01,P0011,C0266,R03,112885.42,55388.8,7038.5,1886.14,48571.97,613.1
2023-01-01,P0012,C0153,R03,21736.85,10999.46,1840.03,378.87,8518.49,121.8
2023-02-01,P0012,C0153,R03,12076.03,5724.3,1561.48,113.03,4677.21,63.4
2023-01-01,P0014,C0104,R03,8343.04,3686.09,894,77.51,3685.44,40.8
2023-02-01,P0014,C0104,R03,7855.27,3251.07,505.24,108.85,3990.11,36
2023-03-01,P0014,C0104,R03,8433.86,3511.92,623.73,148,4150.21,38.7
2023-04-01,P0014,C0104,R03,7957.22,2671.87,461.25,50.99,4773.11,29.7
2023-01-01,P0016,C0134,R02,6052.64,3624.41,945.56,130.36,1352.31,40.1
2023-01-01,P0017,C0007,R01,39380.88,23338.61,5794.07,913.27,9334.93,258.5
2023-02-01,P0017,C0007,R01,46084,25583.7,5268.14,656.82,14575.35,283.4
2023-03-01,P0017,C0007,R01,39380.88,21996.4,3573.31,78.76,13732.41,242.5
2023-04-01,P0017,C0007,R01,32677.75,14718.17,1349.14,334.84,16275.6,163.5
2023-05-01,P0017,C0007,R01,25974.62,13734.23,1817.97,365.92,10056.5,151.8
2023-06-01,P0017,C0007,R01,19271.49,10075.63,2173.46,140.68,6881.72,111.5
2023-07-01,P0017,C0007,R01,12568.36,7949.3,431.63,167.12,4020.3,88
2023-01-01,P0018,C0188,R01,45033.25,25223.41,3163.34,769.76,15876.74,279.4
2023-02-01,P0018,C0188,R01,52193.48,27384.84,6724.38,875.79,17208.47,303.3
2023-01-01,P0019,C0037,R03,45895.86,20443.12,837.58,813.86,23801.3,226.4
2023-02-01,P0019,C0037,R03,42631.88,17788.18,1642.46,555.42,22645.82,197
2023-03-01,P0019,C0037,R03,39675.71,16656.16,1084.3,696.52,21238.73,183.7
2023-04-01,P0019,C0037,R03,43957.84,14880.65,380.61,91.53,28605.05,165.3
2023-05-01,P0019,C0037,R03,44761.88,17788.84,1227.98,229.78,25515.28,196.6
2023-06-01,P0019,C0037,R03,40619.81,15961.69,1490.3,741.69,22426.13,176.7
2023-07-01,P0019,C0037,R03,41591.79,19771.6,794.92,458.11,20567.16,218.8
2023-01-01,P0020,C0055,R01,16161.95,7739.81,938.23,152.81,7331.1,85.7
2023-02-01,P0020,C0055,R01,8556.33,3838.37,396.37,151.09,4170.49,42.5
2023-01-01,P0021,C0275,R03,16305.54,7046.03,1572.06,239.43,7448.03,78
2023-01-01,P0022,C0276,R03,3867.7,1821.76,28.71,43.91,1973.31,20.2
2023-02-01,P0022,C0276,R03,3384.49,1493.33,125.98,61.8,1703.37,16.5
2023-03-01,P0022,C0276,R03,4033.54,1790.61,102.85,25.39,2114.68,19.7
2023-04-01,P0022,C0276,R03,4221.25,1511.1,162.11,58.27,2489.77,16.8
2023-05-01,P0022,C0276,R03,4095.44,1721.1,202.63,79.72,2092,19
2023-06-01,P0022,C0276,R03,3984.83,1655.83,38.44,50.11,2240.45,18.3
2023-07-01,P0022,C0276,R03,3721.23,1870.62,50.99,59.16,1740.46,20.7
2023-08-01,P0022,C0276,R03,3891.97,2166.89,135.08,39.79,1550.21,24.4
2023-01-01,P0024,C0083,R03,14343.64,8742.69,1215.83,66.4,4318.72,96.8
2023-02-01,P0024,C0083,R03,11793.66,6733.77,1033.52,168.19,3858.19,74.6
2023-03-01,P0024,C0083,R03,9243.68,5310.16,184.87,179.62,3569.02,58.6
2023-04-01,P0024,C0083,R03,6693.7,3100.73,734.6,41.86,2816.51,34.4
2023-05-01,P0024,C0083,R03,4143.72,2253.42,334.1,76.39,1479.81,24.9
2023-01-01,P0026,C0063,R02,45597.97,22380.99,3531.93,752.57,18932.48,247.9
2023-02-01,P0026,C0063,R02,31006.62,14256.46,3334.14,83.79,13332.22,157.9
2023-03-01,P0026,C0063,R02,16415.27,7593.79,1014.63,192.56,7614.3,83.7
2023-01-01,P0027,C0065,R01,14964.69,6732.06,898.08,186.12,7148.43,74.6
2023-02-01,P0027,C0065,R01,15873.27,6689.14,1043.43,109.85,8030.85,74.1
2023-03-01,P0027,C0065,R01,14886,6311.53,258.69,200.94,8114.84,69.6
2023-01-01,P0029,C0267,R03,2891.85,1497.91,78.28,48.03,1267.62,16.6
2023-02-01,P0029,C0267,R03,2901.3,1407.76,82.88,54.03,1356.64,15.6
2023-03-01,P0029,C0267,R03,2753.9,1344.43,108.11,12.95,1288.42,14.8
2023-04-01,P0029,C0267,R03,2915.08,1147.56,34.19,30.26,1703.07,12.7
2023-05-01,P0029,C0267,R03,2626.38,1213.77,89.94,31.33,1291.34,13.4
2023-06-01,P0029,C0267,R03,3071.66,1403.63,108.23,27.88,1531.93,15.5
2023-07-01,P0029,C0267,R03,2819.33,1558.54,72.17,26.9,1161.72,17.3
2023-08-01,P0029,C0267,R03,3066.85,1877.73,142.76,6.13,1040.23,21.2
2023-09-01,P0029,C0267,R03,3383.79,1911.68,67.56,31.9,1372.65,21.6
2023-10-01,P0029,C0267,R03,2799.03,1618.52,128.03,46.56,1005.92,18.1
2023-11-01,P0029,C0267,R03,2828.7,1675.78,86.3,25.21,1041.41,18.9
2024-12-01,P0031,C0107,R02,3249.29,910.99,83.9,34.74,2219.66,9.8
2025-01-01,P0031,C0107,R02,3939.94,1145.23,114.75,7.88,2672.08,12
2025-02-01,P0031,C0107,R02,3703.15,997.32,71.37,18.71,2615.75,10.4
2025-03-01,P0031,C0107,R02,3803.51,1200.63,49.28,36.55,2517.05,12.7
