month_start,customer_id,region_id,segment,plan_tier,opening_mrr_usd,new_mrr_usd,expansion_mrr_usd,contraction_mrr_usd,churn_mrr_usd,ending_mrr_usd,recognized_revenue_usd
2023-01-01,C0001,R03,Enterprise,Enterprise Suite,137562.02,0,0,0,0,137562.02,137562.02
2023-02-01,C0001,R03,Enterprise,Enterprise Suite,137562.02,0,0,0,0,137562.02,137562.02
2023-03-01,C0001,R03,Enterprise,Enterprise Suite,137562.02,0,0,0,0,137562.02,137562.02
2023-04-01,C0001,R03,Enterprise,Enterprise Suite,137562.02,0,4126.86,0,0,141688.89,139625.45
2023-05-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,0,0,0,141688.89,141688.89
2023-06-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,0,0,0,141688.89,141688.89
2023-07-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,0,0,0,141688.89,141688.89
2023-08-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,0,0,0,141688.89,141688.89
2023-09-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,0,0,0,141688.89,141688.89
2023-10-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,0,0,0,141688.89,141688.89
2023-11-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,0,0,0,141688.89,141688.89
2023-12-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,0,0,0,141688.89,141688.89
2024-01-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,0,0,0,141688.89,141688.89
2024-02-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,0,0,0,141688.89,141688.89
2024-03-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,0,0,0,141688.89,141688.89
2024-04-01,C0001,R03,Enterprise,Enterprise Suite,141688.89,0,4250.67,0,0,145939.55,143814.22
2024-05-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,0,0,0,145939.55,145939.55
2024-06-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,0,0,0,145939.55,145939.55
2024-07-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,0,0,0,145939.55,145939.55
2024-08-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,0,0,0,145939.55,145939.55
2024-09-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,0,0,0,145939.55,145939.55
2024-10-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,0,0,0,145939.55,145939.55
2024-11-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,0,0,0,145939.55,145939.55
2024-12-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,0,0,0,145939.55,145939.55
2025-01-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,0,0,0,145939.55,145939.55
2025-02-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,0,0,0,145939.55,145939.55
2025-03-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,0,0,0,145939.55,145939.55
2025-04-01,C0001,R03,Enterprise,Enterprise Suite,145939.55,0,11865.94,0,0,157805.49,151872.52
2025-05-01,C0001,R03,Enterprise,Enterprise Suite,157805.49,0,0,0,0,157805.49,157805.49
2025-06-01,C0001,R03,Enterprise,Enterprise Suite,157805.49,0,0,0,0,157805.49,157805.49
2025-07-01,C0001,R03,Enterprise,Enterprise Suite,157805.49,0,0,0,0,157805.49,157805.49
2025-08-01,C0001,R03,Enterprise,Enterprise Suite,157805.49,0,0,0,0,157805.49,157805.49
2025-09-01,C0001,R03,Enterprise,Enterprise Suite,157805.49,0,0,0,0,157805.49,157805.49
2025-10-01,C0001,R03,Enterprise,Enterprise Suite,157805.49,0,0,0,0,157805.49,157805.49
2025-11-01,C0001,R03,Enterprise,Enterprise Suite,157805.49,0,0,0,0,157805.49,157805.49
2025-12-01,C0001,R03,Enterprise,Enterprise Suite,157805.49,0,0,0,0,157805.49,157805.49
2026-01-01,C0001,R03,Enterprise,Enterprise Suite,157805.49,0,0,0,0,157805.49,157805.49
2026-02-01,C0001,R03,Enterprise,Enterprise Suite,157805.49,0,0,0,0,157805.49,157805.49
2026-03-01,C0001,R03,Enterprise,Enterprise Suite,157805.49,0,0,0,0,157805.49,157805.49
