budget_row_id,budget_version,month_start,account_id,department_id,region_id,business_line,amount_usd,budget_driver
B000001,FY2026_Budget_v1,2026-01-01,A4000,D00,R03,Subscription,2705913.65,Growth and retention plan
B000002,FY2026_Budget_v1,2026-02-01,A4000,D00,R03,Subscription,2743545.57,Growth and retention plan
B000003,FY2026_Budget_v1,2026-03-01,A4000,D00,R03,Subscription,2776647,Growth and retention plan
B000004,FY2026_Budget_v1,2026-04-01,A4000,D00,R03,Subscription,2806183,Growth and retention plan
B000005,FY2026_Budget_v1,2026-05-01,A4000,D00,R03,Subscription,2857485.11,Growth and retention plan
B000006,FY2026_Budget_v1,2026-06-01,A4000,D00,R03,Subscription,2951273.95,Growth and retention plan
B000007,FY2026_Budget_v1,2026-07-01,A4000,D00,R03,Subscription,3021199.56,Growth and retention plan
B000008,FY2026_Budget_v1,2026-08-01,A4000,D00,R03,Subscription,3062009.39,Growth and retention plan
B000009,FY2026_Budget_v1,2026-09-01,A4000,D00,R03,Subscription,3094732.92,Growth and retention plan
B000010,FY2026_Budget_v1,2026-10-01,A4000,D00,R03,Subscription,3109105.72,Growth and retention plan
B000011,FY2026_Budget_v1,2026-11-01,A4000,D00,R03,Subscription,3083197.8,Growth and retention plan
B000012,FY2026_Budget_v1,2026-12-01,A4000,D00,R03,Subscription,3104677,Growth and retention plan
B000013,FY2026_Budget_v1,2026-01-01,A4000,D00,R02,Subscription,2672760.95,Growth and retention plan
B000014,FY2026_Budget_v1,2026-02-01,A4000,D00,R02,Subscription,2698125.63,Growth and retention plan
B000015,FY2026_Budget_v1,2026-03-01,A4000,D00,R02,Subscription,2713628.71,Growth and retention plan
B000016,FY2026_Budget_v1,2026-04-01,A4000,D00,R02,Subscription,2768850.13,Growth and retention plan
B000017,FY2026_Budget_v1,2026-05-01,A4000,D00,R02,Subscription,2881998.84,Growth and retention plan
B000018,FY2026_Budget_v1,2026-06-01,A4000,D00,R02,Subscription,2994235.8,Growth and retention plan
B000019,FY2026_Budget_v1,2026-07-01,A4000,D00,R02,Subscription,3041822.4,Growth and retention plan
B000020,FY2026_Budget_v1,2026-08-01,A4000,D00,R02,Subscription,3056839.9,Growth and retention plan
B000021,FY2026_Budget_v1,2026-09-01,A4000,D00,R02,Subscription,3098986.38,Growth and retention plan
B000022,FY2026_Budget_v1,2026-10-01,A4000,D00,R02,Subscription,3138125.05,Growth and retention plan
B000023,FY2026_Budget_v1,2026-11-01,A4000,D00,R02,Subscription,3155972.17,Growth and retention plan
B000024,FY2026_Budget_v1,2026-12-01,A4000,D00,R02,Subscription,3172819.58,Growth and retention plan
B000025,FY2026_Budget_v1,2026-01-01,A4000,D00,R04,Subscription,1488184.33,Growth and retention plan
B000026,FY2026_Budget_v1,2026-02-01,A4000,D00,R04,Subscription,1511687.06,Growth and retention plan
B000027,FY2026_Budget_v1,2026-03-01,A4000,D00,R04,Subscription,1541357.94,Growth and retention plan
B000028,FY2026_Budget_v1,2026-04-01,A4000,D00,R04,Subscription,1542544.53,Growth and retention plan
B000029,FY2026_Budget_v1,2026-05-01,A4000,D00,R04,Subscription,1581167.61,Growth and retention plan
B000030,FY2026_Budget_v1,2026-06-01,A4000,D00,R04,Subscription,1645192.75,Growth and retention plan
B000031,FY2026_Budget_v1,2026-07-01,A4000,D00,R04,Subscription,1665735.54,Growth and retention plan
B000032,FY2026_Budget_v1,2026-08-01,A4000,D00,R04,Subscription,1656671.7,Growth and retention plan
B000033,FY2026_Budget_v1,2026-09-01,A4000,D00,R04,Subscription,1650415.04,Growth and retention plan
B000034,FY2026_Budget_v1,2026-10-01,A4000,D00,R04,Subscription,1653576.54,Growth and retention plan
