forecast_row_id,forecast_version,month_start,account_id,department_id,region_id,business_line,period_type,amount_usd,forecast_driver
F000001,2026_Q2_Forecast,2026-01-01,A4000,D00,R03,Subscription,Actualized,2704385.78,Closed actual
F000002,2026_Q2_Forecast,2026-02-01,A4000,D00,R03,Subscription,Actualized,2735816.37,Closed actual
F000003,2026_Q2_Forecast,2026-03-01,A4000,D00,R03,Subscription,Actualized,2670512.71,Closed actual
F000004,2026_Q2_Forecast,2026-04-01,A4000,D00,R03,Subscription,Actualized,2604645.91,Closed actual
F000005,2026_Q2_Forecast,2026-05-01,A4000,D00,R03,Subscription,Actualized,2634128.63,Closed actual
F000006,2026_Q2_Forecast,2026-06-01,A4000,D00,R03,Subscription,Actualized,2667539.16,Closed actual
F000007,2026_Q2_Forecast,2026-07-01,A4000,D00,R03,Subscription,Forecast,2885245.58,Q2 reforecast adjustment
F000008,2026_Q2_Forecast,2026-08-01,A4000,D00,R03,Subscription,Forecast,2924218.97,Q2 reforecast adjustment
F000009,2026_Q2_Forecast,2026-09-01,A4000,D00,R03,Subscription,Forecast,2955469.94,Q2 reforecast adjustment
F000010,2026_Q2_Forecast,2026-10-01,A4000,D00,R03,Subscription,Forecast,2969195.96,Q2 reforecast adjustment
F000011,2026_Q2_Forecast,2026-11-01,A4000,D00,R03,Subscription,Forecast,2944453.9,Q2 reforecast adjustment
F000012,2026_Q2_Forecast,2026-12-01,A4000,D00,R03,Subscription,Forecast,2964966.53,Q2 reforecast adjustment
F000013,2026_Q2_Forecast,2026-01-01,A4000,D00,R02,Subscription,Actualized,2724509.71,Closed actual
F000014,2026_Q2_Forecast,2026-02-01,A4000,D00,R02,Subscription,Actualized,2767637.39,Closed actual
F000015,2026_Q2_Forecast,2026-03-01,A4000,D00,R02,Subscription,Actualized,2826862.8,Closed actual
F000016,2026_Q2_Forecast,2026-04-01,A4000,D00,R02,Subscription,Actualized,2765475.93,Closed actual
F000017,2026_Q2_Forecast,2026-05-01,A4000,D00,R02,Subscription,Actualized,2698786.06,Closed actual
F000018,2026_Q2_Forecast,2026-06-01,A4000,D00,R02,Subscription,Actualized,2658620.52,Closed actual
F000019,2026_Q2_Forecast,2026-07-01,A4000,D00,R02,Subscription,Forecast,2904940.39,Q2 reforecast adjustment
F000020,2026_Q2_Forecast,2026-08-01,A4000,D00,R02,Subscription,Forecast,2919282.1,Q2 reforecast adjustment
F000021,2026_Q2_Forecast,2026-09-01,A4000,D00,R02,Subscription,Forecast,2959531.99,Q2 reforecast adjustment
F000022,2026_Q2_Forecast,2026-10-01,A4000,D00,R02,Subscription,Forecast,2996909.42,Q2 reforecast adjustment
F000023,2026_Q2_Forecast,2026-11-01,A4000,D00,R02,Subscription,Forecast,3013953.42,Q2 reforecast adjustment
F000024,2026_Q2_Forecast,2026-12-01,A4000,D00,R02,Subscription,Forecast,3030042.7,Q2 reforecast adjustment
F000025,2026_Q2_Forecast,2026-01-01,A4000,D00,R04,Subscription,Actualized,1386478.44,Closed actual
F000026,2026_Q2_Forecast,2026-02-01,A4000,D00,R04,Subscription,Actualized,1401769.92,Closed actual
F000027,2026_Q2_Forecast,2026-03-01,A4000,D00,R04,Subscription,Actualized,1423582.58,Closed actual
