month_start,scenario,pnl_line,statement_section,sort_order,amount_usd
2023-01-01,Actual,"Subscription Revenue",Revenue,10,5807988.14
2023-01-01,Actual,"Professional Services Revenue",Revenue,20,1271207.59
2023-01-01,Actual,"Cost of Subscription","Cost of Revenue",40,1522816.51
2023-01-01,Actual,"Cost of Services","Cost of Revenue",60,1088600.15
2023-01-01,Actual,"Sales & Marketing","Operating Expense",100,1742514.56
2023-01-01,Actual,"Research & Development","Operating Expense",140,1910907.45
2023-01-01,Actual,"General & Administrative","Operating Expense",160,1307018.36
2023-01-01,Actual,"Depreciation & Amortization",D&A,230,127425.52
2023-02-01,Actual,"Subscription Revenue",Revenue,10,5880008.09
2023-02-01,Actual,"Professional Services Revenue",Revenue,20,1363956.8
2023-02-01,Actual,"Cost of Subscription","Cost of Revenue",40,1524736.22
2023-02-01,Actual,"Cost of Services","Cost of Revenue",60,1117648.76
2023-02-01,Actual,"Sales & Marketing","Operating Expense",100,1775752.07
2023-02-01,Actual,"Research & Development","Operating Expense",140,1926903.57
2023-02-01,Actual,"General & Administrative","Operating Expense",160,1301741.59
2023-02-01,Actual,"Depreciation & Amortization",D&A,230,130391.37
2023-03-01,Actual,"Subscription Revenue",Revenue,10,5955656.82
2023-03-01,Actual,"Professional Services Revenue",Revenue,20,1408255.71
2023-03-01,Actual,"Cost of Subscription","Cost of Revenue",40,1569856.8
2023-03-01,Actual,"Cost of Services","Cost of Revenue",60,1091583.76
2023-03-01,Actual,"Sales & Marketing","Operating Expense",100,1796443.99
2023-03-01,Actual,"Research & Development","Operating Expense",140,1913468.36
2023-03-01,Actual,"General & Administrative","Operating Expense",160,1297823.82
2023-03-01,Actual,"Depreciation & Amortization",D&A,230,132550.43
2023-04-01,Actual,"Subscription Revenue",Revenue,10,6127381.56
2023-04-01,Actual,"Professional Services Revenue",Revenue,20,1874092.42
2023-04-01,Actual,"Cost of Subscription","Cost of Revenue",40,1583171.33
2023-04-01,Actual,"Cost of Services","Cost of Revenue",60,1148897.81
2023-04-01,Actual,"Sales & Marketing","Operating Expense",100,1786384.79
2023-04-01,Actual,"Research & Development","Operating Expense",140,1924122.95
2023-04-01,Actual,"General & Administrative","Operating Expense",160,1359646.23
2023-04-01,Actual,"Depreciation & Amortization",D&A,230,144026.53
2023-05-01,Actual,"Subscription Revenue",Revenue,10,6334145.3
2023-05-01,Actual,"Professional Services Revenue",Revenue,20,1582712.57
2023-05-01,Actual,"Cost of Subscription","Cost of Revenue",40,1581376.12
2023-05-01,Actual,"Cost of Services","Cost of Revenue",60,1162699.34
2023-05-01,Actual,"Sales & Marketing","Operating Expense",100,1787550.45
2023-05-01,Actual,"Research & Development","Operating Expense",140,1922153.38
2023-05-01,Actual,"General & Administrative","Operating Expense",160,1274105.12
2023-05-01,Actual,"Depreciation & Amortization",D&A,230,142503.44
2023-06-01,Actual,"Subscription Revenue",Revenue,10,6430053.25
2023-06-01,Actual,"Professional Services Revenue",Revenue,20,1559895.86
2023-06-01,Actual,"Cost of Subscription","Cost of Revenue",40,1598262.3
2023-06-01,Actual,"Cost of Services","Cost of Revenue",60,1154813.59
2023-06-01,Actual,"Sales & Marketing","Operating Expense",100,1805930.81
2023-06-01,Actual,"Research & Development","Operating Expense",140,1957514.41
2023-06-01,Actual,"General & Administrative","Operating Expense",160,1345605.73
2023-06-01,Actual,"Depreciation & Amortization",D&A,230,143819.08
2023-07-01,Actual,"Subscription Revenue",Revenue,10,6510320.47
2023-07-01,Actual,"Professional Services Revenue",Revenue,20,1276689.03
2023-07-01,Actual,"Cost of Subscription","Cost of Revenue",40,1602531.23
2023-07-01,Actual,"Cost of Services","Cost of Revenue",60,1134340.45
2023-07-01,Actual,"Sales & Marketing","Operating Expense",100,1797504.58
2023-07-01,Actual,"Research & Development","Operating Expense",140,1955638.03
2023-07-01,Actual,"General & Administrative","Operating Expense",160,1302038.06
2023-07-01,Actual,"Depreciation & Amortization",D&A,230,140166.17
2023-08-01,Actual,"Subscription Revenue",Revenue,10,6645610.7
2023-08-01,Actual,"Professional Services Revenue",Revenue,20,1145225.13
2023-08-01,Actual,"Cost of Subscription","Cost of Revenue",40,1632728.98
2023-08-01,Actual,"Cost of Services","Cost of Revenue",60,1117931.36
2023-08-01,Actual,"Sales & Marketing","Operating Expense",100,1825378.16
2023-08-01,Actual,"Research & Development","Operating Expense",140,1934952.07
2023-08-01,Actual,"General & Administrative","Operating Expense",160,1372611.22
2023-08-01,Actual,"Depreciation & Amortization",D&A,230,140235.04
2023-09-01,Actual,"Subscription Revenue",Revenue,10,6832292.56
2023-09-01,Actual,"Professional Services Revenue",Revenue,20,1245083.06
2023-09-01,Actual,"Cost of Subscription","Cost of Revenue",40,1660211.98
2023-09-01,Actual,"Cost of Services","Cost of Revenue",60,1154558.11
2023-09-01,Actual,"Sales & Marketing","Operating Expense",100,1843170.23
2023-09-01,Actual,"Research & Development","Operating Expense",140,1935792.15
2023-09-01,Actual,"General & Administrative","Operating Expense",160,1394020.74
2023-09-01,Actual,"Depreciation & Amortization",D&A,230,145392.76
2023-10-01,Actual,"Subscription Revenue",Revenue,10,7030242.72
2023-10-01,Actual,"Professional Services Revenue",Revenue,20,1279628.24
2023-10-01,Actual,"Cost of Subscription","Cost of Revenue",40,1690939.22
2023-10-01,Actual,"Cost of Services","Cost of Revenue",60,1162149.09
2023-10-01,Actual,"Sales & Marketing","Operating Expense",100,1953721.7
2023-10-01,Actual,"Research & Development","Operating Expense",140,1987898.72
2023-10-01,Actual,"General & Administrative","Operating Expense",160,1357805.67
2023-10-01,Actual,"Depreciation & Amortization",D&A,230,149577.68
2023-11-01,Actual,"Subscription Revenue",Revenue,10,7167468.12
2023-11-01,Actual,"Professional Services Revenue",Revenue,20,1362012.25
2023-11-01,Actual,"Cost of Subscription","Cost of Revenue",40,1704208.9
2023-11-01,Actual,"Cost of Services","Cost of Revenue",60,1165649.51
2023-11-01,Actual,"Sales & Marketing","Operating Expense",100,1997134.43
2023-11-01,Actual,"Research & Development","Operating Expense",140,1968070.76
2023-11-01,Actual,"General & Administrative","Operating Expense",160,1398749.0
2023-11-01,Actual,"Depreciation & Amortization",D&A,230,153530.65
2023-12-01,Actual,"Subscription Revenue",Revenue,10,7278832.59
2023-12-01,Actual,"Professional Services Revenue",Revenue,20,1631241.29
2023-12-01,Actual,"Cost of Subscription","Cost of Revenue",40,1723799.73
2023-12-01,Actual,"Cost of Services","Cost of Revenue",60,1159067.08
2023-12-01,Actual,"Sales & Marketing","Operating Expense",100,2040742.01
2023-12-01,Actual,"Research & Development","Operating Expense",140,1991197.44
2023-12-01,Actual,"General & Administrative","Operating Expense",160,1379912.75
2023-12-01,Actual,"Depreciation & Amortization",D&A,230,160381.33
2024-01-01,Actual,"Subscription Revenue",Revenue,10,7384500.28
2024-01-01,Actual,"Professional Services Revenue",Revenue,20,1721733.36
2024-01-01,Actual,"Cost of Subscription","Cost of Revenue",40,1752303.83
2024-01-01,Actual,"Cost of Services","Cost of Revenue",60,1212223.52
2024-01-01,Actual,"Sales & Marketing","Operating Expense",100,2053955.98
2024-01-01,Actual,"Research & Development","Operating Expense",140,2054087.9
2024-01-01,Actual,"General & Administrative","Operating Expense",160,1444325.0
2024-01-01,Actual,"Depreciation & Amortization",D&A,230,163912.21
2024-02-01,Actual,"Subscription Revenue",Revenue,10,7461942.88
2024-02-01,Actual,"Professional Services Revenue",Revenue,20,1708665.44
2024-02-01,Actual,"Cost of Subscription","Cost of Revenue",40,1766954.06
2024-02-01,Actual,"Cost of Services","Cost of Revenue",60,1244688.34
2024-02-01,Actual,"Sales & Marketing","Operating Expense",100,2082873.12
2024-02-01,Actual,"Research & Development","Operating Expense",140,2129029.18
2024-02-01,Actual,"General & Administrative","Operating Expense",160,1532062.52
2024-02-01,Actual,"Depreciation & Amortization",D&A,230,165070.95
2024-03-01,Actual,"Subscription Revenue",Revenue,10,7554969.25
2024-03-01,Actual,"Professional Services Revenue",Revenue,20,1701592.88
2024-03-01,Actual,"Cost of Subscription","Cost of Revenue",40,1781501.52
2024-03-01,Actual,"Cost of Services","Cost of Revenue",60,1245594.87
2024-03-01,Actual,"Sales & Marketing","Operating Expense",100,2138676.78
2024-03-01,Actual,"Research & Development","Operating Expense",140,2170862.77
