month_start,total_revenue_usd,gross_margin_pct,adjusted_ebitda_usd,adjusted_ebitda_margin_pct,ending_arr_usd,active_customers,total_fte,services_utilization_pct
2023-01-01,7079195.73,0.6311,-492661.3,-0.0696,70072046.4,191,334.0,0.7141
2023-02-01,7243964.89,0.6352,-402817.32,-0.0556,71048147.76,194,338.0,0.7247
2023-03-01,7363912.53,0.6386,-305264.2,-0.0415,71887615.8,196,340.0,0.7559
2023-04-01,8001473.98,0.6586,199250.87,0.0249,75169541.4,201,345.4,0.7562
2023-05-01,7916857.87,0.6534,188973.46,0.0239,76849945.56,202,344.4,0.7607
2023-06-01,7989949.11,0.6554,127822.27,0.016,77471332.32,204,347.4,0.7508
2023-07-01,7787009.5,0.6485,-5042.85,-0.0006,78776358.84,208,348.4,0.7581
2023-08-01,7790835.83,0.6469,-92765.96,-0.0119,80718297.48,212,351.4,0.7587
2023-09-01,8077375.62,0.6515,89622.41,0.0111,83256724.2,216,356.4,0.749
2023-10-01,8309870.96,0.6567,157356.56,0.0189,85469101.2,218,358.4,0.7577
2023-11-01,8529480.37,0.6635,295667.77,0.0347,86550133.8,218,361.0,0.7562
2023-12-01,8910073.88,0.6764,615354.87,0.0691,88141848.48,218,362.0,0.7005
2024-01-01,9106233.64,0.6745,589337.41,0.0647,89086158.6,221,362.0,0.7178
2024-02-01,9170608.32,0.6716,415001.1,0.0453,90000470.4,222,368.0,0.7224
2024-03-01,9256562.13,0.673,359608.6,0.0388,91318791.24,222,375.0,0.7551
2024-04-01,9361094.89,0.6772,533143.64,0.057,94024909.2,226,379.0,0.7558
2024-05-01,9264035.18,0.6724,441175.95,0.0476,95108137.8,228,381.0,0.7526
2024-06-01,9610121.82,0.6767,707159.39,0.0736,95498733.36,230,382.0,0.7491
2024-07-01,9230179.78,0.6681,331367.95,0.0359,95747347.32,230,386.0,0.7525
2024-08-01,9525793.04,0.6739,546277.28,0.0573,97030283.52,234,389.6,0.7554
2024-09-01,9628766.93,0.6782,674746.05,0.0701,97873513.08,236,387.6,0.743
2024-10-01,9669483.82,0.6796,488196.24,0.0505,98384159.76,237,390.6,0.738
2024-11-01,10146153.95,0.685,841591.37,0.0829,99792014.88,242,393.6,0.7553
2024-12-01,10397638.62,0.6915,1059480.37,0.1019,100929243.24,247,394.6,0.709
2025-01-01,10453328.61,0.6902,893724.91,0.0855,101748338.64,248,394.6,0.7071
2025-02-01,10743663.09,0.693,1055382.04,0.0982,102789723.84,250,396.6,0.7222
2025-03-01,10539548.3,0.6923,854846.93,0.0811,103588865.64,249,398.6,0.7558
2025-04-01,10264587.53,0.6874,805402.36,0.0785,104958570.96,247,396.6,0.763
2025-05-01,10203804.72,0.686,710563.5,0.0696,108192723.96,253,398.6,0.7607
2025-06-01,10550049.09,0.6929,912165.87,0.0865,110725063.56,257,401.6,0.7483
2025-07-01,10615539.79,0.6921,973105.8,0.0917,111200893.32,259,402.6,0.7615
2025-08-01,11030345.75,0.6997,1228699.99,0.1114,112853057.88,262,407.6,0.7525
2025-09-01,11190662.63,0.7021,1377548.71,0.1231,114004328.4,265,407.6,0.7554
2025-10-01,11740674.36,0.7128,1725395.37,0.147,114623876.28,266,407.6,0.7585
2025-11-01,11955919.69,0.7209,1917152.72,0.1604,114466095.84,267,406.6,0.7669
2025-12-01,11183350.28,0.7006,1218098.46,0.1089,116083055.16,267,408.6,0.6966
2026-01-01,11392190.77,0.6929,950230.49,0.0834,117283302.72,270,414.6,0.6795
2026-02-01,11693406.32,0.6988,1219970.38,0.1043,119653085.88,273,414.6,0.6816
2026-03-01,11598931.94,0.6964,1140797.49,0.0984,119428389.72,274,413.6,0.7249
2026-04-01,11519643.46,0.697,1190302.97,0.1033,117441716.64,273,416.6,0.7478
2026-05-01,11836741.31,0.7089,1469817.75,0.1242,119263350.24,273,421.6,0.7833
2026-06-01,11525113.4,0.7046,1235101.52,0.1072,117761910.48,272,422.6,0.7728
