month_start,opening_arr_usd,new_arr_usd,expansion_arr_usd,contraction_arr_usd,churn_arr_usd,ending_arr_usd,active_customers
2023-01-01,69319669.32,314741.16,569757.24,132121.32,0.0,70072046.4,191
2023-02-01,70072046.4,357591.6,654866.76,36357.12,0.0,71048147.76,194
2023-03-01,71048147.76,225018.48,614449.68,0.0,0.0,71887615.8,196
2023-04-01,71887615.8,2949899.28,405153.72,73127.4,0.0,75169541.4,201
2023-05-01,75169541.4,972163.92,792045.84,13204.8,70600.56,76849945.56,202
2023-06-01,76849945.56,457965.6,191691.24,28270.08,0.0,77471332.32,204
2023-07-01,77471332.32,1209312.0,212966.76,4683.36,112568.64,78776358.84,208
2023-08-01,78776358.84,1486818.36,495458.76,19745.88,20592.24,80718297.48,212
2023-09-01,80718297.48,2195967.72,342458.88,0.0,0.0,83256724.2,216
2023-10-01,83256724.2,1836487.56,408143.4,32253.96,0.0,85469101.2,218
2023-11-01,85469101.2,821750.88,351644.28,5701.2,86661.12,86550133.8,218
2023-12-01,86550133.8,1196977.56,452520.36,839.4,56943.6,88141848.48,218
2024-01-01,88141848.48,250511.04,696851.16,3052.2,0.0,89086158.6,221
2024-02-01,89086158.6,26108.88,1010352.24,122149.08,0.0,90000470.4,222
2024-03-01,90000470.4,629405.64,741166.44,3660.6,48590.28,91318791.24,222
2024-04-01,91318791.24,1844768.4,896936.64,35586.36,0.0,94024909.2,226
2024-05-01,94024909.2,335982.24,747246.36,0.0,0.0,95108137.8,228
2024-06-01,95108137.8,523209.6,229267.56,2920.08,358961.76,95498733.36,230
2024-07-01,95498733.36,44655.12,291711.72,29748.96,58003.8,95747347.32,230
2024-08-01,95747347.32,670418.52,655643.64,43125.84,0.0,97030283.52,234
2024-09-01,97030283.52,231971.28,616162.68,4904.4,0.0,97873513.08,236
2024-10-01,97873513.08,50407.08,602830.8,142590.96,0.0,98384159.76,237
2024-11-01,98384159.76,825019.8,585255.48,2420.16,0.0,99792014.88,242
2024-12-01,99792014.88,729355.44,446921.88,39049.32,0.0,100929243.24,247
2025-01-01,100929243.24,205751.16,625527.72,12183.36,0.0,101748338.64,248
2025-02-01,101748338.64,244170.48,806945.76,9731.28,0.0,102789723.84,250
2025-03-01,102789723.84,220560.6,664052.04,0.0,85471.56,103588865.64,249
2025-04-01,103588865.64,1052192.64,930222.12,85258.32,527451.48,104958570.96,247
2025-05-01,104958570.96,2516433.96,840157.32,122438.64,0.0,108192723.96,253
2025-06-01,108192723.96,2279986.68,287873.64,35520.84,0.0,110725063.56,257
2025-07-01,110725063.56,128346.12,390776.88,43292.76,0.0,111200893.32,259
2025-08-01,111200893.32,1128348.72,950346.24,36350.88,390179.4,112853057.88,262
2025-09-01,112853057.88,636409.56,524355.6,9494.64,0.0,114004328.4,265
2025-10-01,114004328.4,36886.8,587302.08,4641.0,0.0,114623876.28,266
2025-11-01,114623876.28,260481.36,402701.76,14174.52,806789.16,114466095.84,267
2025-12-01,114466095.84,1154722.68,954671.64,54015.12,438419.16,116083055.16,267
2026-01-01,116083055.16,632364.0,718539.48,969.72,149686.32,117283302.72,270
2026-02-01,117283302.72,1388997.6,994968.12,14182.44,0.0,119653085.88,273
2026-03-01,119653085.88,976737.36,829018.56,93769.44,1936682.52,119428389.72,274
2026-04-01,119428389.72,159576.84,829248.12,92063.76,2883434.04,117441716.64,273
2026-05-01,117441716.64,885514.32,1181004.36,28101.6,216783.12,119263350.24,273
2026-06-01,119263350.24,0.0,627046.8,26300.04,2102186.4,117761910.48,272
