invoice_id,customer_id,customer_name,segment,region_name,project_id,invoice_type,issue_date,due_date,invoice_amount_usd,amount_paid_usd,outstanding_usd,invoice_status,days_past_due,aging_bucket,as_of_date
INV0000534,C0134,"BrightPath Mobility 134",SMB,"US Central","",Subscription,2024-09-01,2024-09-16,19374.69,0.0,19374.69,"Past Due",652,"90+ days",2026-06-30
INV0000823,C0199,"Clearwater Health 199",SMB,Canada,"",Subscription,2024-11-01,2024-12-01,16324.83,0.0,16324.83,"Past Due",576,"90+ days",2026-06-30
INV0001562,C0297,"Frontier Health 297",Mid-Market,"US East",P0086,"Professional Services",2025-01-05,2025-02-19,27933.52,0.0,27933.52,"Past Due",496,"90+ days",2026-06-30
INV0000781,C0187,"Frontier Education 187",SMB,"US West","",Subscription,2025-05-01,2025-05-31,9670.74,0.0,9670.74,"Past Due",395,"90+ days",2026-06-30
INV0001196,C0285,"Crescent Technology 285",Mid-Market,"US Central","",Subscription,2025-04-01,2025-05-31,19790.94,0.0,19790.94,"Past Due",395,"90+ days",2026-06-30
INV0001197,C0285,"Crescent Technology 285",Mid-Market,"US Central","",Subscription,2025-07-01,2025-08-30,19790.94,0.0,19790.94,"Past Due",304,"90+ days",2026-06-30
INV0000755,C0182,"Summit Education 182",Mid-Market,"US West","",Subscription,2025-08-01,2025-09-15,31865.28,0.0,31865.28,"Past Due",288,"90+ days",2026-06-30
INV0000018,C0005,"Stonegate Logistics 005",Mid-Market,Canada,"",Subscription,2025-11-01,2025-12-01,42584.49,0.0,42584.49,"Past Due",211,"90+ days",2026-06-30
INV0001827,C0084,"BluePeak Retail 084",SMB,"US Central",P0144,"Professional Services",2026-02-05,2026-03-07,22721.66,0.0,22721.66,"Past Due",115,"90+ days",2026-06-30
INV0000078,C0020,"BrightPath Foods 020",Mid-Market,"US West","",Subscription,2026-02-01,2026-03-18,37030.53,0.0,37030.53,"Past Due",104,"90+ days",2026-06-30
INV0000566,C0142,"Redwood Retail 142",SMB,"US West","",Subscription,2026-04-01,2026-05-01,95577.48,0.0,95577.48,"Past Due",60,"31-60 days",2026-06-30
INV0000829,C0199,"Clearwater Health 199",SMB,Canada,"",Subscription,2026-05-01,2026-05-31,17669.55,0.0,17669.55,"Past Due",30,"1-30 days",2026-06-30
INV0001200,C0285,"Crescent Technology 285",Mid-Market,"US Central","",Subscription,2026-04-01,2026-05-31,21981.27,0.0,21981.27,"Past Due",30,"1-30 days",2026-06-30
INV0002009,C0213,"Oakridge Mobility 213",Mid-Market,"US West",P0185,"Professional Services",2026-05-05,2026-06-04,55787.09,0.0,55787.09,"Past Due",26,"1-30 days",2026-06-30
INV0000367,C0090,"BrightPath Foods 090",Mid-Market,"US East","",Subscription,2026-05-01,2026-06-15,201032.52,0.0,201032.52,"Past Due",15,"1-30 days",2026-06-30
