month_start,calendar_year,calendar_quarter,month_number,month_name,fiscal_year,fiscal_quarter,period_status
2023-01-01,2023,Q1,1,January,FY2023,2023 Q1,Actual
2023-02-01,2023,Q1,2,February,FY2023,2023 Q1,Actual
2023-03-01,2023,Q1,3,March,FY2023,2023 Q1,Actual
2023-04-01,2023,Q2,4,April,FY2023,2023 Q2,Actual
2023-05-01,2023,Q2,5,May,FY2023,2023 Q2,Actual
2023-06-01,2023,Q2,6,June,FY2023,2023 Q2,Actual
2023-07-01,2023,Q3,7,July,FY2023,2023 Q3,Actual
2023-08-01,2023,Q3,8,August,FY2023,2023 Q3,Actual
2023-09-01,2023,Q3,9,September,FY2023,2023 Q3,Actual
2023-10-01,2023,Q4,10,October,FY2023,2023 Q4,Actual
2023-11-01,2023,Q4,11,November,FY2023,2023 Q4,Actual
2023-12-01,2023,Q4,12,December,FY2023,2023 Q4,Actual
2024-01-01,2024,Q1,1,January,FY2024,2024 Q1,Actual
2024-02-01,2024,Q1,2,February,FY2024,2024 Q1,Actual
2024-03-01,2024,Q1,3,March,FY2024,2024 Q1,Actual
2024-04-01,2024,Q2,4,April,FY2024,2024 Q2,Actual
2024-05-01,2024,Q2,5,May,FY2024,2024 Q2,Actual
2024-06-01,2024,Q2,6,June,FY2024,2024 Q2,Actual
2024-07-01,2024,Q3,7,July,FY2024,2024 Q3,Actual
2024-08-01,2024,Q3,8,August,FY2024,2024 Q3,Actual
2024-09-01,2024,Q3,9,September,FY2024,2024 Q3,Actual
2024-10-01,2024,Q4,10,October,FY2024,2024 Q4,Actual
2024-11-01,2024,Q4,11,November,FY2024,2024 Q4,Actual
2024-12-01,2024,Q4,12,December,FY2024,2024 Q4,Actual
2025-01-01,2025,Q1,1,January,FY2025,2025 Q1,Actual
2025-02-01,2025,Q1,2,February,FY2025,2025 Q1,Actual
2025-03-01,2025,Q1,3,March,FY2025,2025 Q1,Actual
2025-04-01,2025,Q2,4,April,FY2025,2025 Q2,Actual
2025-05-01,2025,Q2,5,May,FY2025,2025 Q2,Actual
2025-06-01,2025,Q2,6,June,FY2025,2025 Q2,Actual
2025-07-01,2025,Q3,7,July,FY2025,2025 Q3,Actual
2025-08-01,2025,Q3,8,August,FY2025,2025 Q3,Actual
2025-09-01,2025,Q3,9,September,FY2025,2025 Q3,Actual
2025-10-01,2025,Q4,10,October,FY2025,2025 Q4,Actual
2025-11-01,2025,Q4,11,November,FY2025,2025 Q4,Actual
2025-12-01,2025,Q4,12,December,FY2025,2025 Q4,Actual
2026-01-01,2026,Q1,1,January,FY2026,2026 Q1,Actual
2026-02-01,2026,Q1,2,February,FY2026,2026 Q1,Actual
2026-03-01,2026,Q1,3,March,FY2026,2026 Q1,Actual
2026-04-01,2026,Q2,4,April,FY2026,2026 Q2,Actual
2026-05-01,2026,Q2,5,May,FY2026,2026 Q2,Actual
2026-06-01,2026,Q2,6,June,FY2026,2026 Q2,Actual
2026-07-01,2026,Q3,7,July,FY2026,2026 Q3,Future
2026-08-01,2026,Q3,8,August,FY2026,2026 Q3,Future
2026-09-01,2026,Q3,9,September,FY2026,2026 Q3,Future
2026-10-01,2026,Q4,10,October,FY2026,2026 Q4,Future
2026-11-01,2026,Q4,11,November,FY2026,2026 Q4,Future
2026-12-01,2026,Q4,12,December,FY2026,2026 Q4,Future
