employee_id,department_id,region_id,job_family,level,employment_type,start_month,end_month,annual_base_salary_at_hire_usd
E0001,D04,R03,Enterprise Sales,Senior,Full-time,2022-02-01,,135822.32
E0002,D06,R02,Software Engineering,Senior,Full-time,2021-04-01,,181455.35
E0003,D03,R02,Implementation Consulting,Director,Full-time,2022-11-01,,151726.49
E0004,D06,R02,Software Engineering,Director,Full-time,2022-08-01,,224287.02
E0005,D01,R04,Cloud Engineering,Senior,Full-time,2019-01-01,,123111.44
E0006,D08,R02,People Operations,Senior,Full-time,2020-08-01,,104892.98
E0007,D06,R01,Software Engineering,Manager,Full-time,2022-09-01,,250224.68
E0008,D04,R02,Enterprise Sales,Associate,Full-time,2020-09-01,,81867.82
E0009,D02,R01,Customer Support,Professional,Full-time,2022-01-01,,74139.41
E0010,D01,R01,Cloud Engineering,Professional,Full-time,2020-08-01,,129855.33
E0011,D03,R01,Implementation Consulting,VP,Full-time,2020-03-01,,256308.74
E0012,D06,R01,Software Engineering,Professional,Full-time,2022-06-01,,150028.94
E0013,D06,R01,Software Engineering,Professional,Full-time,2020-08-01,,160615.14
E0014,D09,R02,Legal and Compliance,Manager,Full-time,2020-06-01,,198643.75
E0015,D01,R01,Cloud Engineering,Manager,Full-time,2022-04-01,,174866.91
E0016,D08,R04,People Operations,VP,Full-time,2019-10-01,,158143.47
E0017,D02,R03,Customer Support,Professional,Full-time,2019-05-01,,89195.72
E0018,D03,R01,Implementation Consulting,Senior,Full-time,2020-07-01,,144611.91
E0019,D03,R02,Implementation Consulting,Professional,Full-time,2019-11-01,2025-11-01,92623.31
E0020,D10,R03,Corporate IT,Senior,Full-time,2019-12-01,,137387.77
E0021,D02,R01,Customer Support,Professional,Full-time,2019-10-01,2024-11-01,83514.1
E0022,D06,R01,Software Engineering,Director,Full-time,2021-12-01,,295095.22
E0023,D10,R03,Corporate IT,Professional,Full-time,2021-03-01,,133977.36
E0024,D06,R03,Software Engineering,Senior,Full-time,2020-09-01,,177977.74
E0025,D06,R02,Software Engineering,Manager,Full-time,2020-03-01,,164790.51
E0026,D03,R01,Implementation Consulting,Senior,Full-time,2020-05-01,2025-06-01,164050.44
E0027,D06,R01,Software Engineering,Professional,Full-time,2021-09-01,,174097.03
E0028,D06,R01,Software Engineering,Senior,Full-time,2022-10-01,2025-11-01,161790.76
E0029,D06,R03,Software Engineering,Senior,Full-time,2020-08-01,,170854.52
E0030,D07,R04,Finance and Accounting,Professional,Full-time,2022-03-01,,82475
E0031,D04,R01,Enterprise Sales,Associate,Full-time,2019-07-01,2023-09-01,91408.11
E0032,D10,R02,Corporate IT,Senior,Full-time,2019-06-01,2025-09-01,118776.3
E0033,D04,R02,Enterprise Sales,Professional,Full-time,2019-08-01,,99974.34
E0034,D03,R03,Implementation Consulting,Manager,Full-time,2022-07-01,2025-04-01,124692.48
E0035,D03,R03,Implementation Consulting,Senior,Full-time,2021-11-01,,152517.58
E0036,D05,R04,Marketing,Professional,Full-time,2020-09-01,,75372.76
E0037,D07,R02,Finance and Accounting,Professional,Full-time,2022-02-01,2023-04-01,98908
E0038,D10,R02,Corporate IT,Professional,Full-time,2020-11-01,,94812.27
E0039,D02,R02,Customer Support,VP,Full-time,2021-01-01,,162180.74
E0040,D04,R02,Enterprise Sales,Associate,Full-time,2019-09-01,,76895.92
E0041,D11,R01,Executive Leadership,Professional,Full-time,2020-03-01,,273780.37
E0042,D06,R01,Software Engineering,Associate,Full-time,2022-08-01,2025-10-01,126010.51
E0043,D02,R01,Customer Support,Manager,Full-time,2021-10-01,,135878.95
E0044,D08,R03,People Operations,Manager,Full-time,2019-09-01,,150521.77
E0045,D02,R04,Customer Support,Senior,Full-time,2022-04-01,,71758.75
E0046,D06,R01,Software Engineering,Manager,Full-time,2022-09-01,,201418.7
E0047,D06,R02,Software Engineering,Professional,Full-time,2020-05-01,2024-10-01,124027.28
E0048,D05,R03,Marketing,Senior,Full-time,2019-01-01,,122588.44
E0049,D04,R02,Enterprise Sales,Manager,Full-time,2022-02-01,2024-10-01,129435.62
E0050,D01,R01,Cloud Engineering,Professional,Full-time,2021-12-01,,143042.84
E0051,D04,R02,Enterprise Sales,Professional,Full-time,2020-05-01,2024-06-01,87934.12
E0052,D03,R04,Implementation Consulting,Manager,Full-time,2021-01-01,,110134.64
E0053,D02,R01,Customer Support,Professional,Full-time,2020-08-01,,92631.84
E0054,D06,R01,Software Engineering,Senior,Full-time,2021-03-01,,186010.23
E0055,D03,R02,Implementation Consulting,Professional,Full-time,2019-11-01,,100656.25
E0056,D01,R01,Cloud Engineering,Associate,Full-time,2020-07-01,,117060.85
E0057,D10,R02,Corporate IT,Professional,Full-time,2020-01-01,,95684.76
E0058,D06,R02,Software Engineering,Senior,Full-time,2021-06-01,,153024.82
E0059,D04,R01,Enterprise Sales,Professional,Full-time,2021-08-01,,115096.82
E0060,D01,R02,Cloud Engineering,Senior,Full-time,2022-01-01,,130792.85
E0061,D03,R04,Implementation Consulting,Associate,Full-time,2022-05-01,2024-09-01,70027.74
E0062,D06,R02,Software Engineering,Associate,Full-time,2021-08-01,,92382.03
E0063,D02,R04,Customer Support,Professional,Full-time,2022-05-01,,55557.91
E0064,D04,R01,Enterprise Sales,Professional,Full-time,2021-09-01,,127506.95
E0065,D04,R01,Enterprise Sales,Associate,Full-time,2020-06-01,,90603.38
E0066,D01,R04,Cloud Engineering,Professional,Full-time,2021-04-01,,92875.51
E0067,D06,R02,Software Engineering,Associate,Full-time,2021-12-01,,106169.43
E0068,D11,R02,Executive Leadership,Senior,Full-time,2019-07-01,2024-07-01,309538.07
E0069,D06,R02,Software Engineering,Professional,Full-time,2019-12-01,2023-11-01,130292.37
E0070,D07,R02,Finance and Accounting,Associate,Full-time,2021-04-01,,65777.82
E0071,D10,R02,Corporate IT,Professional,Full-time,2022-07-01,2025-03-01,106470.75
E0072,D06,R01,Software Engineering,Professional,Full-time,2022-11-01,,174390.36
E0073,D04,R03,Enterprise Sales,Professional,Full-time,2021-12-01,,111993.61
E0074,D01,R02,Cloud Engineering,VP,Full-time,2021-01-01,,247564.16
E0075,D04,R02,Enterprise Sales,Professional,Full-time,2021-04-01,2024-07-01,98759.03
E0076,D04,R02,Enterprise Sales,Associate,Full-time,2019-10-01,,77874.34
E0077,D03,R01,Implementation Consulting,Senior,Full-time,2021-05-01,,137880.57
E0078,D06,R04,Software Engineering,Associate,Full-time,2021-06-01,,87459.08
E0079,D03,R02,Implementation Consulting,Senior,Full-time,2019-11-01,,115579.34
E0080,D06,R02,Software Engineering,Professional,Full-time,2019-10-01,2024-10-01,124640.7
E0081,D04,R01,Enterprise Sales,VP,Full-time,2021-04-01,,272080.07
E0082,D03,R03,Implementation Consulting,Senior,Full-time,2020-12-01,,138145.4
E0083,D03,R01,Implementation Consulting,Manager,Full-time,2021-12-01,,140237.57
E0084,D06,R01,Software Engineering,Senior,Full-time,2020-02-01,,171570.36
E0085,D06,R01,Software Engineering,Professional,Full-time,2020-09-01,,126699.84
E0086,D04,R03,Enterprise Sales,Senior,Full-time,2021-11-01,,136898.64
E0087,D03,R02,Implementation Consulting,Professional,Full-time,2022-07-01,2026-03-01,103059.85
E0088,D03,R03,Implementation Consulting,Professional,Full-time,2021-07-01,,104882.68
E0089,D06,R02,Software Engineering,Professional,Full-time,2021-09-01,,118744.45
E0090,D03,R02,Implementation Consulting,Professional,Full-time,2022-01-01,,95961.69
E0091,D03,R02,Implementation Consulting,Professional,Full-time,2020-01-01,,91800.13
E0092,D06,R02,Software Engineering,Professional,Full-time,2022-05-01,,128736.85
E0093,D03,R02,Implementation Consulting,Director,Full-time,2019-04-01,2025-03-01,164004.48
E0094,D02,R02,Customer Support,Senior,Full-time,2022-12-01,,84511.01
E0095,D02,R02,Customer Support,Associate,Full-time,2020-05-01,,63253.71
E0096,D04,R03,Enterprise Sales,VP,Full-time,2020-01-01,,276238.58
E0097,D03,R02,Implementation Consulting,Professional,Full-time,2019-12-01,,79868.64
E0098,D01,R03,Cloud Engineering,Associate,Full-time,2019-06-01,2025-03-01,109522.73
E0099,D06,R03,Software Engineering,Professional,Full-time,2021-06-01,,126880.79
E0100,D03,R03,Implementation Consulting,Senior,Full-time,2019-02-01,,138471.1
E0101,D04,R02,Enterprise Sales,Manager,Full-time,2022-02-01,,141081.43
E0102,D04,R04,Enterprise Sales,Professional,Full-time,2021-11-01,,79738.18
E0103,D04,R01,Enterprise Sales,Professional,Full-time,2020-04-01,,110879.14
E0104,D03,R04,Implementation Consulting,Professional,Full-time,2022-11-01,,85692.71
E0105,D06,R01,Software Engineering,Manager,Full-time,2019-01-01,2024-06-01,223948.06
E0106,D06,R02,Software Engineering,Associate,Full-time,2020-02-01,2023-06-01,91348.42
E0107,D02,R02,Customer Support,Associate,Full-time,2021-12-01,,52778.39
E0108,D03,R02,Implementation Consulting,Professional,Full-time,2019-02-01,,107974.67
E0109,D06,R02,Software Engineering,Associate,Full-time,2020-04-01,2025-11-01,101616.51
