month_start,employee_id,department_id,region_id,fte,monthly_base_salary_usd,bonus_accrual_usd,benefits_usd,payroll_taxes_usd,total_personnel_cost_usd
2023-01-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2023-02-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2023-03-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2023-04-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2023-05-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2023-06-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2023-07-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2023-08-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2023-09-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2023-10-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2023-11-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2023-12-01,E0001,D04,R03,1,11714.68,2342.94,1757.2,896.17,16710.98
2024-01-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2024-02-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2024-03-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2024-04-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2024-05-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2024-06-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2024-07-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2024-08-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2024-09-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2024-10-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2024-11-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2024-12-01,E0001,D04,R03,1,12124.69,2424.94,1818.7,927.54,17295.87
2025-01-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2025-02-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2025-03-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2025-04-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2025-05-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2025-06-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2025-07-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2025-08-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2025-09-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2025-10-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2025-11-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2025-12-01,E0001,D04,R03,1,12549.05,2509.81,1882.36,960,17901.22
2026-01-01,E0001,D04,R03,1,12988.27,2597.65,1948.24,993.6,18527.77
2026-02-01,E0001,D04,R03,1,12988.27,2597.65,1948.24,993.6,18527.77
2026-03-01,E0001,D04,R03,1,12988.27,2597.65,1948.24,993.6,18527.77
2026-04-01,E0001,D04,R03,1,12988.27,2597.65,1948.24,993.6,18527.77
2026-05-01,E0001,D04,R03,1,12988.27,2597.65,1948.24,993.6,18527.77
2026-06-01,E0001,D04,R03,1,12988.27,2597.65,1948.24,993.6,18527.77
2023-01-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2023-02-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2023-03-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2023-04-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2023-05-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2023-06-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2023-07-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2023-08-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2023-09-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2023-10-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2023-11-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2023-12-01,E0002,D06,R02,1,16198.29,1295.86,2429.74,1239.17,21163.07
2024-01-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2024-02-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2024-03-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2024-04-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2024-05-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2024-06-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2024-07-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2024-08-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2024-09-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2024-10-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2024-11-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2024-12-01,E0002,D06,R02,1,16765.23,1341.22,2514.78,1282.54,21903.78
2025-01-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2025-02-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2025-03-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2025-04-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2025-05-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2025-06-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2025-07-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2025-08-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2025-09-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2025-10-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2025-11-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2025-12-01,E0002,D06,R02,1,17352.02,1388.16,2602.8,1327.43,22670.41
2026-01-01,E0002,D06,R02,1,17959.34,1436.75,2693.9,1373.89,23463.87
2026-02-01,E0002,D06,R02,1,17959.34,1436.75,2693.9,1373.89,23463.87
2026-03-01,E0002,D06,R02,1,17959.34,1436.75,2693.9,1373.89,23463.87
2026-04-01,E0002,D06,R02,1,17959.34,1436.75,2693.9,1373.89,23463.87
2026-05-01,E0002,D06,R02,1,17959.34,1436.75,2693.9,1373.89,23463.87
2026-06-01,E0002,D06,R02,1,17959.34,1436.75,2693.9,1373.89,23463.87
2023-01-01,E0003,D03,R02,1,13086.41,1832.1,1962.96,1001.11,17882.58
