month_start,employee_id,region_id,available_hours,billable_hours,internal_hours,bench_hours,utilization_rate
2023-01-01,E0003,R02,166.4,104.7,15.4,46.3,0.6291
2023-02-01,E0003,R02,158.4,102.9,16.1,39.5,0.6493
2023-03-01,E0003,R02,150.4,122.2,16.3,11.9,0.8122
2023-04-01,E0003,R02,158.4,110.5,19.1,28.8,0.6979
2023-05-01,E0003,R02,166.4,134,15.7,16.7,0.805
2023-06-01,E0003,R02,150.4,113.8,17.6,19,0.7568
2023-07-01,E0003,R02,150.4,101.2,14.6,34.6,0.6727
2023-08-01,E0003,R02,158.4,118,20.3,20.1,0.7451
2023-09-01,E0003,R02,158.4,132.8,22.6,3,0.8382
2023-10-01,E0003,R02,150.4,115.7,16.9,17.8,0.7692
2023-11-01,E0003,R02,166.4,134.3,20.3,11.8,0.807
2023-12-01,E0003,R02,142.4,106.3,6.2,29.9,0.7462
2024-01-01,E0003,R02,158.4,112.1,15.9,30.3,0.708
2024-02-01,E0003,R02,150.4,105.1,14.1,31.2,0.6991
2024-03-01,E0003,R02,166.4,122.4,16,28,0.7356
2024-04-01,E0003,R02,166.4,110,13.7,42.7,0.661
2024-05-01,E0003,R02,150.4,108.6,13.5,28.2,0.7223
2024-06-01,E0003,R02,158.4,125.6,19.1,13.7,0.7928
2024-07-01,E0003,R02,158.4,129.3,16.3,12.7,0.8165
2024-08-01,E0003,R02,142.4,117.9,13.3,11.2,0.8276
2024-09-01,E0003,R02,158.4,126.3,22.7,9.5,0.7971
2024-10-01,E0003,R02,150.4,111.5,15.8,23.1,0.7414
2024-11-01,E0003,R02,158.4,107.7,10.8,39.9,0.6799
2024-12-01,E0003,R02,158.4,115.4,14,29,0.7285
2025-01-01,E0003,R02,166.4,107.2,16.3,43,0.644
2025-02-01,E0003,R02,150.4,100.2,19.4,30.8,0.666
2025-03-01,E0003,R02,150.4,115.6,17.1,17.7,0.7688
2025-04-01,E0003,R02,166.4,127.6,16.8,21.9,0.7668
2025-05-01,E0003,R02,142.4,99.6,10.4,32.4,0.6995
2025-06-01,E0003,R02,158.4,125,15.3,18.1,0.7892
2025-07-01,E0003,R02,158.4,113.3,23.6,21.6,0.7151
2025-08-01,E0003,R02,158.4,125.3,15.2,17.9,0.7911
2025-09-01,E0003,R02,158.4,127.3,14.4,16.7,0.8037
2025-10-01,E0003,R02,158.4,108,14.8,35.7,0.6816
2025-11-01,E0003,R02,158.4,111,10.9,36.5,0.7005
2025-12-01,E0003,R02,150.4,105.6,15.9,28.9,0.7019
2026-01-01,E0003,R02,158.4,107.4,13.1,37.9,0.6782
2026-02-01,E0003,R02,166.4,110.4,12.9,43.1,0.6633
2026-03-01,E0003,R02,158.4,120.3,17.8,20.3,0.7597
2026-04-01,E0003,R02,158.4,105.4,11.2,41.8,0.6654
2026-05-01,E0003,R02,166.4,132.8,19,14.6,0.7981
2026-06-01,E0003,R02,150.4,118.2,16.7,15.5,0.7858
2023-01-01,E0011,R01,158.4,113.9,11.7,32.8,0.7192
2023-02-01,E0011,R01,166.4,118.8,22.1,25.5,0.7137
2023-03-01,E0011,R01,166.4,127.2,15.6,23.5,0.7646
2023-04-01,E0011,R01,158.4,127.7,12.1,18.6,0.806
2023-05-01,E0011,R01,150.4,120.3,13.1,17,0.7998
2023-06-01,E0011,R01,158.4,113.3,13.6,31.5,0.7155
2023-07-01,E0011,R01,150.4,116.4,16.6,17.3,0.7743
2023-08-01,E0011,R01,150.4,104,17.6,28.7,0.6918
2023-09-01,E0011,R01,150.4,120.2,20.1,10.2,0.7989
2023-10-01,E0011,R01,158.4,118.4,17.6,22.4,0.7472
2023-11-01,E0011,R01,158.4,131.4,11.5,15.5,0.8294
2023-12-01,E0011,R01,158.4,113.1,13.2,32.1,0.7138
2024-01-01,E0011,R01,158.4,123.3,20.3,14.8,0.7787
2024-02-01,E0011,R01,166.4,112.5,22.2,31.6,0.6763
2024-03-01,E0011,R01,158.4,128.8,10.7,18.9,0.8133
2024-04-01,E0011,R01,158.4,115.4,14.3,28.6,0.7288
2024-05-01,E0011,R01,166.4,134.5,14.4,17.5,0.8085
2024-06-01,E0011,R01,150.4,115.2,19,16.2,0.766
2024-07-01,E0011,R01,158.4,113,19.6,25.8,0.7131
2024-08-01,E0011,R01,166.4,124.1,15.9,26.4,0.746
2024-09-01,E0011,R01,158.4,112.4,8.3,37.7,0.7095
2024-10-01,E0011,R01,158.4,114.2,10.7,33.6,0.7208
2024-11-01,E0011,R01,142.4,107.5,16.2,18.7,0.7549
2024-12-01,E0011,R01,158.4,99.2,15,44.2,0.626
2025-01-01,E0011,R01,158.4,116,13.3,29.1,0.7326
2025-02-01,E0011,R01,150.4,116.9,17.8,15.7,0.7771
2025-03-01,E0011,R01,150.4,119.3,19.9,11.2,0.7933
2025-04-01,E0011,R01,158.4,124.1,19.6,14.7,0.7835
2025-05-01,E0011,R01,150.4,116.7,10.6,23,0.7761
2025-06-01,E0011,R01,150.4,118.1,16.1,16.2,0.785
2025-07-01,E0011,R01,158.4,110.7,13.8,33.9,0.6991
2025-08-01,E0011,R01,150.4,114,22.9,13.5,0.7582
2025-09-01,E0011,R01,166.4,120.8,17.5,28.1,0.726
2025-10-01,E0011,R01,150.4,115.1,12.8,22.5,0.7651
2025-11-01,E0011,R01,158.4,126.8,11.5,20.1,0.8004
2025-12-01,E0011,R01,150.4,106.7,14.4,29.3,0.7097
2026-01-01,E0011,R01,150.4,106.5,16.2,27.7,0.7083
2026-02-01,E0011,R01,158.4,118,14.7,25.7,0.7449
2026-03-01,E0011,R01,166.4,93.8,12.6,60,0.5638
2026-04-01,E0011,R01,158.4,128.8,16.5,13.1,0.8129
2026-05-01,E0011,R01,158.4,125.2,11.9,21.4,0.7901
2026-06-01,E0011,R01,158.4,118,18.5,21.9,0.7447
2023-01-01,E0018,R01,158.4,105.4,17.7,35.3,0.6652
2023-02-01,E0018,R01,150.4,110.8,17.3,22.4,0.7365
2023-03-01,E0018,R01,158.4,118.9,11.6,27.9,0.7506
2023-04-01,E0018,R01,158.4,112.7,19.5,26.2,0.7114
2023-05-01,E0018,R01,158.4,133.1,19.4,6,0.84
2023-06-01,E0018,R01,158.4,122.7,8.4,27.3,0.7748
2023-07-01,E0018,R01,158.4,121.2,19.3,17.9,0.7654
2023-08-01,E0018,R01,166.4,118.5,12.5,35.5,0.712
2023-09-01,E0018,R01,166.4,131.3,11,24.1,0.7889
2023-10-01,E0018,R01,166.4,131.6,16.5,18.3,0.7911
2023-11-01,E0018,R01,166.4,132,17.4,16.9,0.7935
2023-12-01,E0018,R01,150.4,99,18.6,32.8,0.6583
2024-01-01,E0018,R01,150.4,110,13,27.4,0.7315
2024-02-01,E0018,R01,150.4,115.7,16.7,18,0.7691
2024-03-01,E0018,R01,166.4,125,13.7,27.7,0.7514
2024-04-01,E0018,R01,158.4,105.5,17.8,35.1,0.6661
2024-05-01,E0018,R01,166.4,123.6,8.6,34.1,0.743
