month_start,customer_id,customer_name,segment,industry,region_name,subscription_revenue_usd,services_revenue_usd,total_revenue_usd,ending_arr_usd
2023-01-01,C0007,"Keystone Retail 007",Mid-Market,Healthcare,"US West",8825.06,39380.88,48205.94,105900.72
2023-01-01,C0009,"Westbridge Technology 009",SMB,"Retail and E-commerce","US West",4139.61,0.0,4139.61,49675.32
2023-01-01,C0011,"Highland Mobility 011",SMB,"Financial Services","US West",4258.04,0.0,4258.04,51096.48
2023-01-01,C0016,"Atlas Insurance 016",SMB,Technology,"US West",2861.84,0.0,2861.84,34342.08
2023-01-01,C0018,"Cedar Insurance 018",SMB,Energy,"US West",2845.66,0.0,2845.66,34147.92
2023-01-01,C0022,"Redwood Foods 022",Mid-Market,Manufacturing,"US West",9646.73,0.0,9646.73,115760.76
2023-01-01,C0035,"Summit Logistics 035",Enterprise,Manufacturing,"US West",73188.58,201793.58,274982.16,878262.96
2023-01-01,C0039,"Redwood Technology 039",SMB,Energy,"US West",2583.88,0.0,2583.88,31006.56
2023-01-01,C0041,"Pioneer Manufacturing 041",Mid-Market,Logistics,"US West",37774.88,0.0,37774.88,453298.56
2023-01-01,C0044,"Frontier Manufacturing 044",SMB,"Business Services","US West",3628.69,0.0,3628.69,43544.28
2023-01-01,C0051,"Frontier Financial 051",SMB,Energy,"US West",3174.9,0.0,3174.9,38098.8
2023-01-01,C0053,"Cedar Manufacturing 053",Mid-Market,Manufacturing,"US West",15143.05,0.0,15143.05,181716.6
2023-01-01,C0055,"Cedar Foods 055",SMB,"Financial Services","US West",2768.31,16161.95,18930.26,33219.72
2023-01-01,C0057,"Meridian Technology 057",Mid-Market,"Retail and E-commerce","US West",9648.85,0.0,9648.85,115786.2
2023-01-01,C0060,"Oakridge Energy 060",Mid-Market,Energy,"US West",15406.03,0.0,15406.03,184872.36
2023-01-01,C0064,"Frontier Media 064",Enterprise,Technology,"US West",55247.11,0.0,55247.11,662965.32
2023-01-01,C0065,"Stonegate Logistics 065",SMB,"Business Services","US West",2786.77,14964.69,17751.46,33441.24
2023-01-01,C0071,"Stonegate Insurance 071",Enterprise,"Financial Services","US West",52697.7,0.0,52697.7,632372.4
2023-01-01,C0082,"Lakeview Energy 082",SMB,"Business Services","US West",4454.09,0.0,4454.09,53449.08
2023-01-01,C0096,"Silverline Energy 096",SMB,Logistics,"US West",3640.96,0.0,3640.96,43691.52
2023-01-01,C0099,"Keystone Logistics 099",SMB,"Financial Services","US West",3974.03,0.0,3974.03,47688.36
2023-01-01,C0100,"BluePeak Education 100",SMB,Technology,"US West",4696.35,0.0,4696.35,56356.2
2023-01-01,C0101,"Lakeview Insurance 101",Enterprise,"Business Services","US West",68884.65,0.0,68884.65,826615.8
2023-01-01,C0108,"Lakeview Mobility 108",SMB,Energy,"US West",4156.99,0.0,4156.99,49883.88
2023-01-01,C0110,"Clearwater Retail 110",Enterprise,Technology,"US West",77485.13,0.0,77485.13,929821.56
2023-01-01,C0117,"Highland Foods 117",Mid-Market,Technology,"US West",14791.56,0.0,14791.56,177498.72
2023-01-01,C0118,"Nova Retail 118",Enterprise,"Retail and E-commerce","US West",61512.86,0.0,61512.86,738154.32
2023-01-01,C0119,"Westbridge Health 119",Enterprise,Technology,"US West",71795.12,0.0,71795.12,861541.44
2023-01-01,C0122,"Atlas Foods 122",Mid-Market,Technology,"US West",14360.32,0.0,14360.32,172323.84
2023-01-01,C0123,"Evergreen Media 123",Mid-Market,Logistics,"US West",23102.77,42141.81,65244.58,277233.24
2023-01-01,C0142,"Redwood Retail 142",SMB,"Financial Services","US West",6358.57,0.0,6358.57,76302.84
2023-01-01,C0146,"Vantage Insurance 146",SMB,"Financial Services","US West",3371.3,0.0,3371.3,40455.6
2023-01-01,C0147,"Summit Health 147",Mid-Market,Technology,"US West",11295.69,0.0,11295.69,135548.28
2023-01-01,C0149,"Atlas Foods 149",Enterprise,"Financial Services","US West",89352.47,0.0,89352.47,1072229.64
2023-01-01,C0152,"Meridian Logistics 152",Mid-Market,"Retail and E-commerce","US West",11806.11,0.0,11806.11,141673.32
2023-01-01,C0158,"Northstar Education 158",Mid-Market,Logistics,"US West",12447.35,0.0,12447.35,149368.2
2023-01-01,C0160,"Lakeview Logistics 160",Mid-Market,"Financial Services","US West",14092.72,0.0,14092.72,169112.64
2023-01-01,C0163,"Evergreen Retail 163",Enterprise,"Financial Services","US West",134695.58,0.0,134695.58,1616346.96
2023-01-01,C0173,"Northstar Insurance 173",Mid-Market,"Retail and E-commerce","US West",9809.28,0.0,9809.28,117711.36
2023-01-01,C0174,"BrightPath Education 174",Enterprise,"Business Services","US West",37921.15,0.0,37921.15,455053.8
2023-01-01,C0175,"Frontier Manufacturing 175",Mid-Market,Manufacturing,"US West",23377.23,0.0,23377.23,280526.76
2023-01-01,C0178,"Cedar Energy 178",Mid-Market,"Business Services","US West",23617.26,0.0,23617.26,283407.12
2023-01-01,C0181,"Summit Financial 181",Mid-Market,Logistics,"US West",9093.55,0.0,9093.55,109122.6
2023-01-01,C0182,"Summit Education 182",Mid-Market,Energy,"US West",8754.92,0.0,8754.92,105059.04
2023-01-01,C0185,"Oakridge Media 185",SMB,"Financial Services","US West",3681.7,0.0,3681.7,44180.4
2023-01-01,C0188,"Northstar Technology 188",Mid-Market,Healthcare,"US West",30243.1,45033.25,75276.35,362917.2
2023-01-01,C0196,"Summit Education 196",SMB,Energy,"US West",2910.83,0.0,2910.83,34929.96
2023-01-01,C0200,"Beacon Energy 200",Mid-Market,Energy,"US West",26559.86,0.0,26559.86,318718.32
2023-01-01,C0207,"Vantage Technology 207",Mid-Market,Healthcare,"US West",15559.47,0.0,15559.47,186713.64
2023-01-01,C0209,"Pioneer Manufacturing 209",Mid-Market,Technology,"US West",12554.06,0.0,12554.06,150648.72
2023-01-01,C0210,"BluePeak Logistics 210",SMB,"Retail and E-commerce","US West",2381.28,0.0,2381.28,28575.36
2023-01-01,C0213,"Oakridge Mobility 213",Mid-Market,Energy,"US West",8426.56,0.0,8426.56,101118.72
2023-01-01,C0214,"Harbor Energy 214",Mid-Market,Healthcare,"US West",21026.05,0.0,21026.05,252312.6
2023-01-01,C0220,"BrightPath Financial 220",Mid-Market,"Financial Services","US West",12255.69,0.0,12255.69,147068.28
2023-01-01,C0226,"Frontier Financial 226",SMB,Manufacturing,"US West",2722.07,0.0,2722.07,32664.84
2023-01-01,C0228,"Silverline Mobility 228",Mid-Market,Logistics,"US West",14648.92,0.0,14648.92,175787.04
