revenue_rank,customer_id,customer_name,segment,industry,region_name,subscription_revenue_usd,services_revenue_usd,total_revenue_usd,revenue_share
1,C0028,"Northstar Technology 028",Enterprise,Healthcare,"US East",593945.84,2371234.28,2965180.12,0.0216
2,C0106,"Highland Manufacturing 106",Enterprise,"Retail and E-commerce","US East",1191019.8,1312180.46,2503200.26,0.0182
3,C0114,"Redwood Mobility 114",Enterprise,"Business Services",Canada,1613344.93,671768.95,2285113.88,0.0166
4,C0149,"Atlas Foods 149",Enterprise,"Financial Services","US West",1312544.91,947735.71,2260280.62,0.0165
5,C0037,"Highland Insurance 037",Enterprise,Energy,"US East",1870580.37,278021.42,2148601.79,0.0157
6,C0278,"BluePeak Financial 278",Enterprise,Logistics,"US Central",2143459.62,0.0,2143459.62,0.0156
7,C0163,"Evergreen Retail 163",Enterprise,"Financial Services","US West",1978238.18,0.0,1978238.18,0.0144
8,C0190,"Evergreen Energy 190",Enterprise,Healthcare,"US Central",1024845.56,952635.45,1977481.01,0.0144
9,C0300,"Meridian Manufacturing 300",Enterprise,"Retail and E-commerce","US Central",1408738.6,563982.9,1972721.5,0.0144
10,C0211,"Vantage Retail 211",Enterprise,"Business Services",Canada,1762095.66,198671.97,1960767.63,0.0143
11,C0225,"Evergreen Media 225",Enterprise,Logistics,"US Central",1955100.37,0.0,1955100.37,0.0142
12,C0075,"Nova Energy 075",Enterprise,Manufacturing,"US Central",1923710.16,0.0,1923710.16,0.014
13,C0001,"BrightPath Insurance 001",Enterprise,"Business Services","US East",1905501.28,0.0,1905501.28,0.0139
14,C0169,"Silverline Education 169",Enterprise,Manufacturing,"US East",1325135.55,572847.65,1897983.2,0.0138
15,C0094,"Crescent Technology 094",Enterprise,Logistics,"US West",509041.03,1254248.03,1763289.06,0.0128
16,C0198,"Nova Foods 198",Enterprise,"Financial Services",Canada,1744290.43,0.0,1744290.43,0.0127
17,C0204,"Harbor Education 204",Enterprise,Healthcare,"US West",1699430.8,0.0,1699430.8,0.0124
18,C0229,"Meridian Retail 229",Enterprise,Logistics,"US East",1497808.19,194621.16,1692429.35,0.0123
19,C0088,"Redwood Manufacturing 088",Enterprise,Healthcare,"US Central",1655052.23,0.0,1655052.23,0.0121
20,C0283,"Cedar Financial 283",Enterprise,Logistics,"US Central",1642048.01,0.0,1642048.01,0.012
21,C0023,"Northstar Energy 023",Enterprise,Healthcare,"US Central",1600800.14,0.0,1600800.14,0.0117
22,C0115,"BluePeak Logistics 115",Enterprise,Healthcare,Canada,1591493.48,0.0,1591493.48,0.0116
23,C0030,"Lakeview Health 030",Enterprise,Manufacturing,"US East",1572545.31,0.0,1572545.31,0.0115
24,C0105,"Clearwater Foods 105",Enterprise,Technology,"US East",1543025.7,0.0,1543025.7,0.0112
25,C0294,"Nova Logistics 294",Enterprise,Technology,"US East",927274.68,603285.11,1530559.79,0.0111
26,C0288,"Westbridge Mobility 288",Enterprise,Logistics,"US West",1506119.38,0.0,1506119.38,0.011
27,C0179,"Lakeview Health 179",Enterprise,Manufacturing,Canada,913200.8,571858.09,1485058.89,0.0108
