month_start,department_name,function_group,region_name,fte,personnel_cost_usd,services_utilization_pct
2023-01-01,"Cloud Operations","Cost of Revenue","US West",12.0,201495.83,
2023-01-01,"Customer Support","Cost of Revenue","US West",12.0,159605.44,
2023-01-01,"Professional Services","Cost of Revenue","US West",19.0,304504.12,0.7085
2023-01-01,Sales,"Sales & Marketing","US West",15.0,258615.33,
2023-01-01,Marketing,"Sales & Marketing","US West",3.0,40459.14,
2023-01-01,"Product & Engineering","Research & Development","US West",39.0,830892.06,
2023-01-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-01-01,People,"General & Administrative","US West",1.0,10965.97,
2023-01-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-01-01,Executive,"General & Administrative","US West",2.0,70112.54,
2023-02-01,"Cloud Operations","Cost of Revenue","US West",12.0,201495.83,
2023-02-01,"Customer Support","Cost of Revenue","US West",12.0,159605.44,
2023-02-01,"Professional Services","Cost of Revenue","US West",19.0,304504.12,0.7164
2023-02-01,Sales,"Sales & Marketing","US West",15.0,258615.33,
2023-02-01,Marketing,"Sales & Marketing","US West",3.0,40459.14,
2023-02-01,"Product & Engineering","Research & Development","US West",39.0,830892.06,
2023-02-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-02-01,People,"General & Administrative","US West",1.0,10965.97,
2023-02-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-02-01,Executive,"General & Administrative","US West",2.0,70112.54,
2023-03-01,"Cloud Operations","Cost of Revenue","US West",12.0,201495.83,
2023-03-01,"Customer Support","Cost of Revenue","US West",12.0,159605.44,
2023-03-01,"Professional Services","Cost of Revenue","US West",19.0,304504.12,0.7646
2023-03-01,Sales,"Sales & Marketing","US West",15.0,258615.33,
2023-03-01,Marketing,"Sales & Marketing","US West",4.0,52091.6,
2023-03-01,"Product & Engineering","Research & Development","US West",39.0,830892.06,
2023-03-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-03-01,People,"General & Administrative","US West",1.0,10965.97,
2023-03-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-03-01,Executive,"General & Administrative","US West",2.0,70112.54,
2023-04-01,"Cloud Operations","Cost of Revenue","US West",12.0,201495.83,
2023-04-01,"Customer Support","Cost of Revenue","US West",12.0,159605.44,
2023-04-01,"Professional Services","Cost of Revenue","US West",19.0,304504.12,0.7791
2023-04-01,Sales,"Sales & Marketing","US West",16.0,274104.33,
2023-04-01,Marketing,"Sales & Marketing","US West",4.0,52091.6,
2023-04-01,"Product & Engineering","Research & Development","US West",39.0,829729.06,
2023-04-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-04-01,People,"General & Administrative","US West",1.0,10965.97,
2023-04-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-04-01,Executive,"General & Administrative","US West",2.0,70112.54,
2023-05-01,"Cloud Operations","Cost of Revenue","US West",11.0,183131.52,
2023-05-01,"Customer Support","Cost of Revenue","US West",12.0,159605.44,
2023-05-01,"Professional Services","Cost of Revenue","US West",19.0,304504.12,0.7693
2023-05-01,Sales,"Sales & Marketing","US West",16.0,274104.33,
2023-05-01,Marketing,"Sales & Marketing","US West",4.0,52091.6,
2023-05-01,"Product & Engineering","Research & Development","US West",39.0,829729.06,
2023-05-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-05-01,People,"General & Administrative","US West",1.0,10965.97,
2023-05-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-05-01,Executive,"General & Administrative","US West",2.0,70112.54,
2023-06-01,"Cloud Operations","Cost of Revenue","US West",11.0,183131.52,
2023-06-01,"Customer Support","Cost of Revenue","US West",12.0,159605.44,
2023-06-01,"Professional Services","Cost of Revenue","US West",19.0,304504.12,0.7519
