month_start,scenario,subscription_revenue_usd,services_revenue_usd,total_revenue_usd,cost_of_subscription_usd,cost_of_services_usd,gross_profit_usd,gross_margin_pct,sales_marketing_usd,research_development_usd,general_administrative_usd,adjusted_ebitda_usd,adjusted_ebitda_margin_pct,depreciation_amortization_usd,operating_income_usd
2023-01-01,Actual,5807988.14,1271207.59,7079195.73,1522816.51,1088600.15,4467779.07,0.6311,1742514.56,1910907.45,1307018.36,-492661.3,-0.0696,127425.52,-620086.82
2023-02-01,Actual,5880008.09,1363956.8,7243964.89,1524736.22,1117648.76,4601579.91,0.6352,1775752.07,1926903.57,1301741.59,-402817.32,-0.0556,130391.37,-533208.69
2023-03-01,Actual,5955656.82,1408255.71,7363912.53,1569856.8,1091583.76,4702471.97,0.6386,1796443.99,1913468.36,1297823.82,-305264.2,-0.0415,132550.43,-437814.63
2023-04-01,Actual,6127381.56,1874092.42,8001473.98,1583171.33,1148897.81,5269404.84,0.6586,1786384.79,1924122.95,1359646.23,199250.87,0.0249,144026.53,55224.34
2023-05-01,Actual,6334145.3,1582712.57,7916857.87,1581376.12,1162699.34,5172782.41,0.6534,1787550.45,1922153.38,1274105.12,188973.46,0.0239,142503.44,46470.02
2023-06-01,Actual,6430053.25,1559895.86,7989949.11,1598262.3,1154813.59,5236873.22,0.6554,1805930.81,1957514.41,1345605.73,127822.27,0.016,143819.08,-15996.81
2023-07-01,Actual,6510320.47,1276689.03,7787009.5,1602531.23,1134340.45,5050137.82,0.6485,1797504.58,1955638.03,1302038.06,-5042.85,-0.0006,140166.17,-145209.02
2023-08-01,Actual,6645610.7,1145225.13,7790835.83,1632728.98,1117931.36,5040175.49,0.6469,1825378.16,1934952.07,1372611.22,-92765.96,-0.0119,140235.04,-233001.0
2023-09-01,Actual,6832292.56,1245083.06,8077375.62,1660211.98,1154558.11,5262605.53,0.6515,1843170.23,1935792.15,1394020.74,89622.41,0.0111,145392.76,-55770.35
2023-10-01,Actual,7030242.72,1279628.24,8309870.96,1690939.22,1162149.09,5456782.65,0.6567,1953721.7,1987898.72,1357805.67,157356.56,0.0189,149577.68,7778.88
2023-11-01,Actual,7167468.12,1362012.25,8529480.37,1704208.9,1165649.51,5659621.96,0.6635,1997134.43,1968070.76,1398749.0,295667.77,0.0347,153530.65,142137.12
2023-12-01,Actual,7278832.59,1631241.29,8910073.88,1723799.73,1159067.08,6027207.07,0.6764,2040742.01,1991197.44,1379912.75,615354.87,0.0691,160381.33,454973.54
2024-01-01,Actual,7384500.28,1721733.36,9106233.64,1752303.83,1212223.52,6141706.29,0.6745,2053955.98,2054087.9,1444325.0,589337.41,0.0647,163912.21,425425.2
2024-02-01,Actual,7461942.88,1708665.44,9170608.32,1766954.06,1244688.34,6158965.92,0.6716,2082873.12,2129029.18,1532062.52,415001.1,0.0453,165070.95,249930.15
2024-03-01,Actual,7554969.25,1701592.88,9256562.13,1781501.52,1245594.87,6229465.74,0.673,2138676.78,2170862.77,1560317.59,359608.6,0.0388,166618.12,192990.48
2024-04-01,Actual,7722654.21,1638440.68,9361094.89,1796841.67,1224953.98,6339299.24,0.6772,2086415.05,2225179.38,1494561.17,533143.64,0.057,168499.71,364643.93
2024-05-01,Actual,7880543.63,1383491.55,9264035.18,1819167.18,1215727.27,6229140.73,0.6724,2099328.75,2225889.89,1462746.14,441175.95,0.0476,166752.63,274423.32
2024-06-01,Actual,7941952.97,1668168.85,9610121.82,1850096.0,1256466.19,6503559.63,0.6767,2120686.33,2197207.65,1478506.26,707159.39,0.0736,172982.19,534177.2
2024-07-01,Actual,7968586.68,1261593.1,9230179.78,1851803.41,1211553.63,6166822.74,0.6681,2092252.97,2218450.72,1524751.1,331367.95,0.0359,166143.24,165224.71
2024-08-01,Actual,8032401.29,1493391.75,9525793.04,1863877.63,1242843.62,6419071.79,0.6739,2129894.28,2227465.16,1515435.07,546277.28,0.0573,171464.27,374813.01
2024-09-01,Actual,8120991.54,1507775.39,9628766.93,1875616.11,1223275.59,6529875.23,0.6782,2137661.46,2209908.24,1507559.48,674746.05,0.0701,173317.8,501428.25
2024-10-01,Actual,8177403.04,1492080.78,9669483.82,1882773.2,1215804.23,6570906.39,0.6796,2296802.37,2196231.62,1589676.16,488196.24,0.0505,174050.71,314145.53
2024-11-01,Actual,8257340.62,1888813.33,10146153.95,1931357.8,1265008.32,6949787.83,0.685,2329181.59,2199491.34,1579523.53,841591.37,0.0829,182630.77,658960.6
2024-12-01,Actual,8363385.76,2034252.86,10397638.62,1959526.12,1247989.01,7190123.49,0.6915,2347988.95,2228470.85,1554183.32,1059480.37,0.1019,187157.5,872322.87
2025-01-01,Actual,8444899.25,2008429.36,10453328.61,1974728.36,1263928.26,7214671.99,0.6902,2377281.08,2298797.59,1644868.41,893724.91,0.0855,188159.91,705565.0
2025-02-01,Actual,8522419.28,2221243.81,10743663.09,1997948.01,1300448.66,7445266.42,0.693,2396358.67,2311669.49,1681856.22,1055382.04,0.0982,193385.94,861996.1
2025-03-01,Actual,8599107.89,1940440.41,10539548.3,2005769.49,1237321.1,7296457.71,0.6923,2386303.31,2335604.77,1719702.7,854846.93,0.0811,189711.87,665135.06
2025-04-01,Actual,8689476.56,1575110.97,10264587.53,2019044.29,1189671.2,7055872.04,0.6874,2297387.85,2366420.07,1586661.76,805402.36,0.0785,184762.58,620639.78
2025-05-01,Actual,8881303.91,1322500.81,10203804.72,2041618.75,1162580.73,6999605.24,0.686,2327500.18,2367283.29,1594258.27,710563.5,0.0696,183668.48,526895.02
2025-06-01,Actual,9121574.47,1428474.62,10550049.09,2084091.14,1156012.54,7309945.41,0.6929,2368767.11,2368364.51,1660647.92,912165.87,0.0865,189900.88,722264.99
