month_start,scenario,account_id,account_code,account_name,statement_section,pnl_line,sort_order,department_id,department_name,function_group,region_id,region_name,business_line,customer_id,project_id,amount_usd
2023-01-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",137562.02
2023-02-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",137562.02
2023-03-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",137562.02
2023-04-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",139625.45
2023-05-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",141688.89
2023-06-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",141688.89
2023-07-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",141688.89
2023-08-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",141688.89
2023-09-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",141688.89
2023-10-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",141688.89
2023-11-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",141688.89
2023-12-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",141688.89
2024-01-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",141688.89
2024-02-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",141688.89
2024-03-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",141688.89
2024-04-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",143814.22
2024-05-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",145939.55
2024-06-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",145939.55
2024-07-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",145939.55
2024-08-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",145939.55
2024-09-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",145939.55
2024-10-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",145939.55
2024-11-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",145939.55
2024-12-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",145939.55
2025-01-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",145939.55
2025-02-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",145939.55
2025-03-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",145939.55
2025-04-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",151872.52
2025-05-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",157805.49
2025-06-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",157805.49
2025-07-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",157805.49
2025-08-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",157805.49
2025-09-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",157805.49
2025-10-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",157805.49
2025-11-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",157805.49
2025-12-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",157805.49
2026-01-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",157805.49
2026-02-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",157805.49
2026-03-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",157805.49
2026-04-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",160172.57
2026-05-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",162539.65
2026-06-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0001,"",162539.65
2023-01-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",5968.88
2023-02-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",5968.88
2023-03-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",5968.88
2023-04-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",5968.88
2023-05-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",5968.88
2023-06-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",5968.88
2023-07-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",5968.88
2023-08-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",5968.88
2023-09-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",5968.88
2023-10-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",5968.88
2023-11-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",5984.53
2023-12-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6000.18
2024-01-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6000.18
2024-02-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6000.18
2024-03-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6000.18
2024-04-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6000.18
2024-05-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6000.18
2024-06-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6000.18
2024-07-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6000.18
2024-08-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6000.18
2024-09-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6000.18
2024-10-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6000.18
2024-11-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6090.18
2024-12-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6180.18
2025-01-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6180.18
2025-02-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6180.18
2025-03-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6180.18
2025-04-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6180.18
2025-05-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6180.18
2025-06-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6180.18
2025-07-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6180.18
2025-08-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6180.18
2025-09-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6180.18
2025-10-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6180.18
2025-11-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6272.89
2025-12-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6365.59
2026-01-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6365.59
2026-02-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6365.59
2026-03-01,Actual,A4000,4000,"Subscription Revenue",Revenue,"Subscription Revenue",10,D00,"Revenue Operations",Revenue,R03,"US East",Subscription,C0002,"",6365.59
